model,data_idx,layer,neuron_idx,activation,layer_type
model1,116,,0,0.83249074,0-other
model1,116,features,83632,0.0,1-other
model1,116,features.0,962303,0.0,2-conv
model1,116,features.1,873832,0.0,3-relu
model1,116,features.2,218507,0.0,4-maxpool
model1,116,features.3,346154,0.0,5-other
model1,116,features.4,358410,0.08063045,6-conv
model1,116,features.5,188680,0.0,7-relu
model1,116,features.6,132303,0.0,8-maxpool
model1,116,features.7,36399,0.0,9-other
model1,116,features.8,355056,0.0,10-conv
model1,116,features.9,319597,0.0,11-relu
model1,116,features.10,4463,0.0,12-maxpool
model1,116,features.11,65361,0.0,13-other
model1,116,classifier,0,0.83249074,14-other
model1,116,classifier.0,18643,0.0,15-flatten
model1,116,classifier.1,343,2.4736884,16-linear
model1,116,classifier.2,420,0.0,17-relu
model1,116,classifier.3,221,1.7751315,18-dropout
model1,116,classifier.4,0,1.6033835,19-linear
model1,116,classifier.5,0,0.83249074,20-sigmoid
