model,data_idx,layer,neuron_idx,activation,layer_type
model2,163,,0,0.87606555,0-other
model2,163,features,3559,0.0,1-other
model2,163,features,94736,0.0,1-other
model2,163,features,37351,0.05484617,1-other
model2,163,features,83134,0.0,1-other
model2,163,features,56394,0.0,1-other
model2,163,features,85431,0.0,1-other
model2,163,features,73583,0.015737053,1-other
model2,163,features,3422,0.0,1-other
model2,163,features,96286,0.0,1-other
model2,163,features,50362,0.0,1-other
model2,163,features,72424,0.0,1-other
model2,163,features,22255,0.0,1-other
model2,163,features,24634,0.0,1-other
model2,163,features,34386,0.0,1-other
model2,163,features,15892,0.0,1-other
model2,163,features.0,870788,0.02005224,2-conv
model2,163,features.0,220373,0.0,2-conv
model2,163,features.0,1470436,0.0042821723,2-conv
model2,163,features.0,1234220,0.0,2-conv
model2,163,features.0,817189,0.031395193,2-conv
model2,163,features.0,769244,0.0,2-conv
model2,163,features.0,1305257,0.0,2-conv
model2,163,features.0,1456034,0.0,2-conv
model2,163,features.0,454205,0.0,2-conv
model2,163,features.0,539441,0.0,2-conv
model2,163,features.0,816397,0.0,2-conv
model2,163,features.0,183576,0.0,2-conv
model2,163,features.0,1040900,0.0,2-conv
model2,163,features.0,861045,0.0,2-conv
model2,163,features.0,879400,0.0,2-conv
model2,163,features.1,1075583,0.098762214,3-relu
model2,163,features.1,1453688,0.0,3-relu
model2,163,features.1,637324,0.0,3-relu
model2,163,features.1,1287042,0.0,3-relu
model2,163,features.1,1241177,0.0,3-relu
model2,163,features.1,536964,0.0,3-relu
model2,163,features.1,786234,0.0,3-relu
model2,163,features.1,579766,0.0,3-relu
model2,163,features.1,354716,0.0,3-relu
model2,163,features.1,63212,0.025916142,3-relu
model2,163,features.1,996371,0.0,3-relu
model2,163,features.1,1087422,0.19872768,3-relu
model2,163,features.1,1067540,0.0,3-relu
model2,163,features.1,431676,0.0,3-relu
model2,163,features.1,552608,0.34403503,3-relu
model2,163,features.2,145901,0.0,4-maxpool
model2,163,features.2,210217,0.0268241,4-maxpool
model2,163,features.2,103030,0.0,4-maxpool
model2,163,features.2,153369,0.0,4-maxpool
model2,163,features.2,221005,0.0,4-maxpool
model2,163,features.2,147550,0.0,4-maxpool
model2,163,features.2,109646,0.0,4-maxpool
model2,163,features.2,400958,0.0,4-maxpool
model2,163,features.2,116082,0.0,4-maxpool
model2,163,features.2,183287,0.024005087,4-maxpool
model2,163,features.2,244382,0.0,4-maxpool
model2,163,features.2,180413,0.0,4-maxpool
model2,163,features.2,354268,0.0,4-maxpool
model2,163,features.2,211137,0.0,4-maxpool
model2,163,features.2,93510,0.0,4-maxpool
model2,163,features.3,297609,0.0,5-other
model2,163,features.3,215123,0.0,5-other
model2,163,features.3,258138,0.0,5-other
model2,163,features.3,248451,0.0,5-other
model2,163,features.3,76133,0.0,5-other
model2,163,features.3,368437,0.23546799,5-other
model2,163,features.3,396674,0.010329695,5-other
model2,163,features.3,11450,0.0,5-other
model2,163,features.3,31703,0.0,5-other
model2,163,features.3,160917,0.121455096,5-other
model2,163,features.3,167432,0.0,5-other
model2,163,features.3,47964,0.0,5-other
model2,163,features.3,103730,0.0,5-other
model2,163,features.3,69692,0.0,5-other
model2,163,features.3,306978,0.0,5-other
model2,163,features.4,300584,0.0,6-conv
model2,163,features.4,225816,0.0,6-conv
model2,163,features.4,201742,0.016081812,6-conv
model2,163,features.4,728460,0.0025873964,6-conv
model2,163,features.4,511427,0.0,6-conv
model2,163,features.4,32004,0.0,6-conv
model2,163,features.4,441458,0.0,6-conv
model2,163,features.4,771586,0.0,6-conv
model2,163,features.4,689971,0.0,6-conv
model2,163,features.4,278450,0.03487041,6-conv
model2,163,features.4,386219,0.0,6-conv
model2,163,features.4,156280,0.0,6-conv
model2,163,features.4,748384,0.0,6-conv
model2,163,features.4,32802,0.0,6-conv
model2,163,features.4,636214,0.0,6-conv
model2,163,features.5,426253,0.0,7-relu
model2,163,features.5,82607,0.0,7-relu
model2,163,features.5,30215,0.0,7-relu
model2,163,features.5,108822,0.0,7-relu
model2,163,features.5,536055,0.0,7-relu
model2,163,features.5,399300,0.0,7-relu
model2,163,features.5,668024,0.0,7-relu
model2,163,features.5,403910,0.0,7-relu
model2,163,features.5,724748,0.0,7-relu
model2,163,features.5,367998,0.0,7-relu
model2,163,features.5,788067,0.0,7-relu
model2,163,features.5,362040,0.0,7-relu
model2,163,features.5,298705,0.0,7-relu
model2,163,features.5,389115,0.035314858,7-relu
model2,163,features.5,738499,0.0,7-relu
model2,163,features.6,6072,0.0,8-maxpool
model2,163,features.6,6313,0.0,8-maxpool
model2,163,features.6,56580,0.0,8-maxpool
model2,163,features.6,130614,0.0,8-maxpool
model2,163,features.6,170641,0.0,8-maxpool
model2,163,features.6,48696,0.0,8-maxpool
model2,163,features.6,81674,0.11996349,8-maxpool
model2,163,features.6,175438,0.0,8-maxpool
model2,163,features.6,118419,0.0,8-maxpool
model2,163,features.6,13435,0.0,8-maxpool
model2,163,features.6,177646,0.0,8-maxpool
model2,163,features.6,200524,0.0,8-maxpool
model2,163,features.6,80159,0.0,8-maxpool
