layer_name,data_index,count_Model_1,count_Model_2,total_neurons_Model_1,total_neurons_Model_2,percentage_active_Model_1,percentage_active_Model_2,mean_Model_1,mean_Model_2,sum_Model_1,sum_Model_2,max_Model_1,max_Model_2,min_Model_1,min_Model_2,variance_Model_1,variance_Model_2,class
02-conv features,2013.4741062479118,150243.17574340128,231625.6565319078,1605632.0,1605632.0,9.357260925504804,14.425824630544719,0.05258200052631482,0.05530077871899814,7954.578151999848,12793.850781298943,0.8858982505425537,0.7578630150957646,3.1699654868702166e-07,4.0637730003757456e-07,0.0059413776544608035,0.003637492120528226,0.0
06-conv features,2013.4741062479118,99865.20314066154,60533.39325091881,802816.0,802816.0,12.439363831894424,7.5401328885969905,0.06564820943990854,0.03487645331371883,6592.411244360213,2100.9122131735116,1.3824435844693819,0.7261384674589092,5.244993334937924e-07,4.857807759988419e-07,0.011260841092562415,0.003161601406376809,0.0
10-conv features,2013.4741062479118,11881.577347143335,23690.53391246241,401408.0,401408.0,2.959975223997363,5.90185893466558,0.04171879705373968,0.033014956414898655,473.59852956586406,754.7398164891257,1.014021493511936,0.6702717585439989,8.022140464479304e-06,2.2723599089041347e-06,0.003979488749395322,0.0019064728698002394,0.0
16-linear classifier,2013.4741062479118,30.00801871032409,38.41162712996993,512.0,512.0,5.860941154360174,7.502270923822252,0.87981935169559,1.4269586163562076,28.130924339641744,57.61889988405028,2.6979586394821724,4.075597491863377,0.039772671533832786,0.055557429925504324,0.6015006953621992,1.2141811689962483,0.0
19-linear classifier,2013.4741062479118,1.0036752422318744,0.9986635482793184,2.0,2.0,50.183762111593715,49.93317741396592,0.8762664738105909,1.2423509407540827,0.8798015998869965,1.243417813508926,0.8781107931957645,1.2428420391873476,0.8744221544201273,1.2418598423394875,0.0010672360685664998,4.8862797257729094e-05,0.0
19-softmax classifier,2013.4741062479118,2.0,2.0,2.0,2.0,100.0,100.0,0.4999999969630109,0.49999999677382145,0.9999999939260218,0.9999999935476429,0.7919753617241436,0.829516405729478,0.20802463907077,0.17048359357055548,0.2159473795728148,0.2633892904666563,0.0
