model,data_idx,layer,neuron_idx,activation,layer_type
model2,147,,0,0.69345516,0-other
model2,147,features,65508,0.0,1-other
model2,147,features,78639,0.0,1-other
model2,147,features,22580,0.0,1-other
model2,147,features,31827,0.0,1-other
model2,147,features,68401,0.0,1-other
model2,147,features.0,132048,0.0,2-conv
model2,147,features.0,922201,0.0,2-conv
model2,147,features.0,1148574,0.13545287,2-conv
model2,147,features.0,574274,0.0,2-conv
model2,147,features.0,1319162,0.0,2-conv
model2,147,features.1,297436,0.0,3-relu
model2,147,features.1,1172205,0.0,3-relu
model2,147,features.1,1444287,0.0,3-relu
model2,147,features.1,1346414,0.0,3-relu
model2,147,features.1,222083,0.0,3-relu
model2,147,features.2,117238,0.0,4-maxpool
model2,147,features.2,9287,0.0,4-maxpool
model2,147,features.2,265467,0.06439769,4-maxpool
model2,147,features.2,279546,0.048816238,4-maxpool
model2,147,features.2,150822,0.0026479985,4-maxpool
model2,147,features.3,331462,0.0,5-other
model2,147,features.3,370613,0.03021433,5-other
model2,147,features.3,352715,0.0,5-other
model2,147,features.3,23879,0.10718841,5-other
model2,147,features.3,81294,0.0,5-other
model2,147,features.4,485557,0.07095915,6-conv
model2,147,features.4,195253,0.0,6-conv
model2,147,features.4,726772,0.0,6-conv
model2,147,features.4,789115,0.0,6-conv
model2,147,features.4,358055,0.014431022,6-conv
model2,147,features.5,80133,0.0,7-relu
model2,147,features.5,76775,0.0,7-relu
model2,147,features.5,669617,0.0,7-relu
model2,147,features.5,318238,0.0,7-relu
model2,147,features.5,547511,0.0,7-relu
model2,147,features.6,141256,0.012456587,8-maxpool
model2,147,features.6,153752,0.05297303,8-maxpool
model2,147,features.6,151374,0.0,8-maxpool
model2,147,features.6,144536,0.0,8-maxpool
model2,147,features.6,27949,0.0,8-maxpool
model2,147,features.7,24903,0.0,9-other
model2,147,features.7,170796,0.0,9-other
model2,147,features.7,88806,0.2264382,9-other
model2,147,features.7,166481,0.0,9-other
model2,147,features.7,137811,0.0,9-other
model2,147,features.8,244395,0.0,10-conv
model2,147,features.8,41720,0.0,10-conv
model2,147,features.8,338041,0.0,10-conv
model2,147,features.8,3547,0.0,10-conv
model2,147,features.8,270931,0.0,10-conv
model2,147,features.9,11297,0.0,11-relu
model2,147,features.9,279028,0.035313502,11-relu
model2,147,features.9,242996,0.0,11-relu
model2,147,features.9,143881,0.0,11-relu
model2,147,features.9,254363,0.0,11-relu
model2,147,features.10,65230,0.0,12-maxpool
model2,147,features.10,74505,0.0,12-maxpool
model2,147,features.10,70715,0.0,12-maxpool
model2,147,features.10,90472,0.0,12-maxpool
model2,147,features.10,93049,0.0,12-maxpool
model2,147,features.11,71846,0.0,13-other
model2,147,features.11,11688,0.0,13-other
model2,147,features.11,6860,0.0,13-other
model2,147,features.11,99472,0.0,13-other
model2,147,features.11,79273,0.0,13-other
model2,147,classifier,0,0.69345516,14-other
model2,147,classifier.0,27534,0.0,15-flatten
model2,147,classifier.0,15345,0.0,15-flatten
model2,147,classifier.0,75948,0.0,15-flatten
model2,147,classifier.0,76907,0.0,15-flatten
model2,147,classifier.0,21572,0.0,15-flatten
model2,147,classifier.1,159,0.1488349,16-linear
model2,147,classifier.1,452,0.0,16-linear
model2,147,classifier.1,365,0.0,16-linear
model2,147,classifier.1,67,0.0,16-linear
model2,147,classifier.1,21,0.0,16-linear
model2,147,classifier.2,51,0.21437404,17-relu
model2,147,classifier.2,352,0.0,17-relu
model2,147,classifier.2,136,0.0,17-relu
model2,147,classifier.2,408,0.0,17-relu
model2,147,classifier.2,13,0.0,17-relu
model2,147,classifier.3,83,0.0,18-dropout
model2,147,classifier.3,292,0.0,18-dropout
model2,147,classifier.3,323,0.0,18-dropout
model2,147,classifier.3,51,0.21437404,18-dropout
model2,147,classifier.3,479,0.0,18-dropout
model2,147,classifier.4,0,0.8163226,19-linear
model2,147,classifier.5,0,0.69345516,20-sigmoid
