model,data_idx,layer,neuron_idx,activation,layer_type
model2,105,,0,0.9654133,0-other
model2,105,features,37525,0.0,1-other
model2,105,features.0,1469761,0.0713238,2-conv
model2,105,features.1,576282,0.0,3-relu
model2,105,features.2,154747,0.19593205,4-maxpool
model2,105,features.3,12465,0.0,5-other
model2,105,features.4,659719,0.0,6-conv
model2,105,features.5,55536,0.0,7-relu
model2,105,features.6,8941,0.0,8-maxpool
model2,105,features.7,198006,0.0,9-other
model2,105,features.8,100959,0.0,10-conv
model2,105,features.9,235808,0.0,11-relu
model2,105,features.10,22901,0.0,12-maxpool
model2,105,features.11,60172,0.0,13-other
model2,105,classifier,0,0.9654133,14-other
model2,105,classifier.0,26301,0.0,15-flatten
model2,105,classifier.1,245,0.0,16-linear
model2,105,classifier.2,285,0.0,17-relu
model2,105,classifier.3,24,0.0,18-dropout
model2,105,classifier.4,0,3.3290846,19-linear
model2,105,classifier.5,0,0.9654133,20-sigmoid
