model,data_idx,layer,neuron_idx,activation,layer_type
model1,150,features.0,1585183,0.062423017,2-conv
model1,150,features.0,1590273,0.05061568,2-conv
model1,150,features.0,420633,0.012745118,2-conv
model1,150,features.0,980965,0.079179525,2-conv
model1,150,features.0,826119,0.0,2-conv
model1,150,features.0,1481709,0.032758836,2-conv
model1,150,features.0,724309,0.05849929,2-conv
model1,150,features.0,742453,0.040135495,2-conv
model1,150,features.0,749585,0.1419306,2-conv
model1,150,features.0,834047,0.0,2-conv
model1,150,features.4,335129,0.052995745,6-conv
model1,150,features.4,400927,0.0,6-conv
model1,150,features.4,276435,0.0,6-conv
model1,150,features.4,324527,0.0,6-conv
model1,150,features.4,357722,0.0,6-conv
model1,150,features.4,615709,0.0,6-conv
model1,150,features.4,225871,0.0,6-conv
model1,150,features.4,249358,0.0,6-conv
model1,150,features.4,481947,0.0,6-conv
model1,150,features.4,5249,0.0,6-conv
model1,150,features.8,245708,0.0,10-conv
model1,150,features.8,86503,0.0,10-conv
model1,150,features.8,311097,0.0,10-conv
model1,150,features.8,392247,0.022749899,10-conv
model1,150,features.8,249664,0.0,10-conv
model1,150,features.8,224201,0.0,10-conv
model1,150,features.8,84808,0.023097374,10-conv
model1,150,features.8,209091,0.0,10-conv
model1,150,features.8,223811,0.0,10-conv
model1,150,features.8,312513,0.0,10-conv
model1,150,classifier.1,297,2.0792844,16-linear
model1,150,classifier.1,65,0.0,16-linear
model1,150,classifier.1,206,0.0,16-linear
model1,150,classifier.1,397,0.0,16-linear
model1,150,classifier.1,6,0.62495923,16-linear
model1,150,classifier.1,156,3.4032772,16-linear
model1,150,classifier.1,212,4.677856,16-linear
model1,150,classifier.1,235,2.0445275,16-linear
model1,150,classifier.1,113,1.9600799,16-linear
model1,150,classifier.1,441,0.58733547,16-linear
model1,150,classifier.4,0,3.0950294,19-linear
model1,150,classifier.5,0,0.9566873,20-sigmoid
