model,data_idx,layer,neuron_idx,activation,layer_type
model1,162,,0,0.9193907,0-other
model1,162,features,4430,0.0,1-other
model1,162,features,8716,0.0,1-other
model1,162,features,70825,0.0,1-other
model1,162,features,97212,0.0,1-other
model1,162,features,82840,0.0,1-other
model1,162,features,49167,0.0,1-other
model1,162,features,41822,0.0,1-other
model1,162,features,81269,0.0,1-other
model1,162,features,51905,0.0,1-other
model1,162,features,5287,0.0,1-other
model1,162,features,71816,0.0,1-other
model1,162,features,48094,0.0,1-other
model1,162,features,26003,0.0,1-other
model1,162,features,73100,0.17718649,1-other
model1,162,features,56955,0.0,1-other
model1,162,features.0,401033,0.06344492,2-conv
model1,162,features.0,123844,0.058763545,2-conv
model1,162,features.0,1480870,0.0,2-conv
model1,162,features.0,1205013,0.0,2-conv
model1,162,features.0,708084,0.041291278,2-conv
model1,162,features.0,1143100,0.0,2-conv
model1,162,features.0,1229919,0.0,2-conv
model1,162,features.0,1123279,0.0,2-conv
model1,162,features.0,978320,0.0,2-conv
model1,162,features.0,1140868,0.0,2-conv
model1,162,features.0,929925,0.0,2-conv
model1,162,features.0,390508,0.0,2-conv
model1,162,features.0,748776,0.034215238,2-conv
model1,162,features.0,624583,0.13496852,2-conv
model1,162,features.0,1028128,0.0,2-conv
model1,162,features.1,1230091,0.0,3-relu
model1,162,features.1,1428622,0.0,3-relu
model1,162,features.1,78747,0.027527565,3-relu
model1,162,features.1,102138,0.08969607,3-relu
model1,162,features.1,1250500,0.0,3-relu
model1,162,features.1,260588,0.0,3-relu
model1,162,features.1,483197,0.0,3-relu
model1,162,features.1,1140907,0.09410077,3-relu
model1,162,features.1,790324,0.0,3-relu
model1,162,features.1,1373212,0.0,3-relu
model1,162,features.1,97789,0.06677447,3-relu
model1,162,features.1,520653,0.0,3-relu
model1,162,features.1,221076,0.0,3-relu
model1,162,features.1,1103540,0.0039967624,3-relu
model1,162,features.1,748563,0.017196514,3-relu
model1,162,features.2,85173,0.0,4-maxpool
model1,162,features.2,68033,0.0,4-maxpool
model1,162,features.2,383043,0.0,4-maxpool
model1,162,features.2,271799,0.08088124,4-maxpool
model1,162,features.2,83418,0.0,4-maxpool
model1,162,features.2,160821,0.0,4-maxpool
model1,162,features.2,188112,0.0033622342,4-maxpool
model1,162,features.2,50487,0.09962395,4-maxpool
model1,162,features.2,359157,0.0,4-maxpool
model1,162,features.2,371627,0.0,4-maxpool
model1,162,features.2,184919,0.0,4-maxpool
model1,162,features.2,309944,0.0,4-maxpool
model1,162,features.2,61248,0.0,4-maxpool
model1,162,features.2,265425,0.0,4-maxpool
model1,162,features.2,344331,0.0,4-maxpool
model1,162,features.3,232394,0.0,5-other
model1,162,features.3,99668,0.0,5-other
model1,162,features.3,170513,0.0,5-other
model1,162,features.3,188196,0.0,5-other
model1,162,features.3,14048,0.0,5-other
model1,162,features.3,250338,0.0,5-other
model1,162,features.3,100645,0.0,5-other
model1,162,features.3,210588,0.024471998,5-other
model1,162,features.3,52501,0.0,5-other
model1,162,features.3,198244,0.0,5-other
model1,162,features.3,59286,0.0864379,5-other
model1,162,features.3,321448,0.0,5-other
model1,162,features.3,282593,0.0,5-other
model1,162,features.3,344249,0.0,5-other
model1,162,features.3,256368,0.10412208,5-other
model1,162,features.4,394408,0.0,6-conv
model1,162,features.4,327357,0.0,6-conv
model1,162,features.4,230130,0.0,6-conv
model1,162,features.4,117352,0.0,6-conv
model1,162,features.4,217699,0.0,6-conv
model1,162,features.4,68938,0.0,6-conv
model1,162,features.4,429057,0.0,6-conv
model1,162,features.4,371500,0.011929043,6-conv
model1,162,features.4,664862,0.0,6-conv
model1,162,features.4,517581,0.0,6-conv
model1,162,features.4,79210,0.0,6-conv
model1,162,features.4,746045,0.0,6-conv
model1,162,features.4,226567,0.0,6-conv
model1,162,features.4,699417,0.0,6-conv
model1,162,features.4,767939,0.0,6-conv
model1,162,features.5,454237,0.0,7-relu
model1,162,features.5,502475,0.0,7-relu
model1,162,features.5,727078,0.0,7-relu
model1,162,features.5,69731,0.0,7-relu
model1,162,features.5,35754,0.0,7-relu
model1,162,features.5,438046,0.0,7-relu
model1,162,features.5,490346,0.0,7-relu
model1,162,features.5,689790,0.0,7-relu
model1,162,features.5,56244,0.0,7-relu
model1,162,features.5,428011,0.0,7-relu
model1,162,features.5,470971,0.0,7-relu
model1,162,features.5,159909,0.0,7-relu
model1,162,features.5,360029,0.0,7-relu
model1,162,features.5,571931,0.017529996,7-relu
model1,162,features.5,409043,0.0,7-relu
model1,162,features.6,31140,0.007926769,8-maxpool
model1,162,features.6,19638,0.0,8-maxpool
model1,162,features.6,6718,0.0,8-maxpool
model1,162,features.6,64080,0.0,8-maxpool
model1,162,features.6,91744,0.0,8-maxpool
model1,162,features.6,135149,0.04831374,8-maxpool
model1,162,features.6,25850,0.0,8-maxpool
model1,162,features.6,134273,0.0,8-maxpool
model1,162,features.6,150196,0.0,8-maxpool
model1,162,features.6,53398,0.0,8-maxpool
model1,162,features.6,172905,0.0,8-maxpool
model1,162,features.6,96035,0.0,8-maxpool
model1,162,features.6,25627,0.019336648,8-maxpool
model1,162,features.6,102225,0.0,8-maxpool
model1,162,features.6,69450,0.0,8-maxpool
model1,162,features.7,12617,0.0,9-other
model1,162,features.7,70829,0.0,9-other
model1,162,features.7,12409,0.0,9-other
model1,162,features.7,116284,0.0,9-other
model1,162,features.7,57900,0.0,9-other
model1,162,features.7,84771,0.0,9-other
model1,162,features.7,35019,0.0075014513,9-other
model1,162,features.7,84956,0.0,9-other
model1,162,features.7,84846,0.0,9-other
model1,162,features.7,21548,0.0,9-other
model1,162,features.7,29448,0.037947413,9-other
model1,162,features.7,41672,0.007386443,9-other
model1,162,features.7,149679,0.0,9-other
model1,162,features.7,68272,0.022120986,9-other
model1,162,features.7,82023,0.12805249,9-other
model1,162,features.8,149466,0.0,10-conv
model1,162,features.8,14270,0.0,10-conv
model1,162,features.8,96290,0.0,10-conv
model1,162,features.8,99783,0.0,10-conv
model1,162,features.8,205296,0.0,10-conv
model1,162,features.8,195937,0.0,10-conv
model1,162,features.8,207074,0.006050793,10-conv
model1,162,features.8,128271,0.0,10-conv
model1,162,features.8,82987,0.0,10-conv
model1,162,features.8,225689,0.0,10-conv
model1,162,features.8,323841,0.0,10-conv
model1,162,features.8,58643,0.0,10-conv
model1,162,features.8,135716,0.0,10-conv
model1,162,features.8,41250,0.0,10-conv
model1,162,features.8,364723,0.0,10-conv
model1,162,features.9,29948,0.0,11-relu
