model,data_idx,layer,neuron_idx,activation,layer_type
model2,152,,0,0.353884,0-other
model2,152,features,91411,0.0,1-other
model2,152,features,18881,0.0,1-other
model2,152,features,84519,0.0,1-other
model2,152,features,68870,0.0,1-other
model2,152,features,4628,0.0,1-other
model2,152,features.0,1089066,0.0,2-conv
model2,152,features.0,473454,0.0,2-conv
model2,152,features.0,581305,0.0,2-conv
model2,152,features.0,1157715,0.0,2-conv
model2,152,features.0,128658,0.0,2-conv
model2,152,features.1,1543048,0.0,3-relu
model2,152,features.1,1044128,0.0,3-relu
model2,152,features.1,933543,0.0,3-relu
model2,152,features.1,1334281,0.0,3-relu
model2,152,features.1,605526,0.0,3-relu
model2,152,features.2,400871,0.0,4-maxpool
model2,152,features.2,173941,0.0,4-maxpool
model2,152,features.2,178986,0.0,4-maxpool
model2,152,features.2,385969,0.0,4-maxpool
model2,152,features.2,268294,0.035192024,4-maxpool
model2,152,features.3,330697,0.08145086,5-other
model2,152,features.3,299687,0.0,5-other
model2,152,features.3,265981,0.0,5-other
model2,152,features.3,110029,0.0,5-other
model2,152,features.3,88694,0.0,5-other
model2,152,features.4,81804,0.0,6-conv
model2,152,features.4,605666,0.0,6-conv
model2,152,features.4,680338,0.0,6-conv
model2,152,features.4,584539,0.0,6-conv
model2,152,features.4,403453,0.0,6-conv
model2,152,features.5,688866,0.0,7-relu
model2,152,features.5,725518,0.0,7-relu
model2,152,features.5,440557,0.0,7-relu
model2,152,features.5,780488,0.08963494,7-relu
model2,152,features.5,98182,0.0,7-relu
model2,152,features.6,16255,0.0,8-maxpool
model2,152,features.6,124051,0.0,8-maxpool
model2,152,features.6,142587,0.032752674,8-maxpool
model2,152,features.6,62806,0.011686782,8-maxpool
model2,152,features.6,199095,0.0,8-maxpool
model2,152,features.7,120354,0.009029723,9-other
model2,152,features.7,74075,0.0,9-other
model2,152,features.7,151148,0.0,9-other
model2,152,features.7,130685,0.0,9-other
model2,152,features.7,1643,0.16306181,9-other
model2,152,features.8,212922,0.0,10-conv
model2,152,features.8,119555,0.0,10-conv
model2,152,features.8,60029,0.0,10-conv
model2,152,features.8,381898,0.0,10-conv
model2,152,features.8,334171,0.0,10-conv
model2,152,features.9,396392,0.0,11-relu
model2,152,features.9,18567,0.0,11-relu
model2,152,features.9,247037,0.0,11-relu
model2,152,features.9,330941,0.0,11-relu
model2,152,features.9,123630,0.0,11-relu
model2,152,features.10,1901,0.0,12-maxpool
model2,152,features.10,52176,0.0,12-maxpool
model2,152,features.10,26253,0.0,12-maxpool
model2,152,features.10,84,0.0,12-maxpool
model2,152,features.10,37350,0.12499683,12-maxpool
model2,152,features.11,7636,0.0,13-other
model2,152,features.11,76326,0.0,13-other
model2,152,features.11,39840,0.0,13-other
model2,152,features.11,51773,0.0,13-other
model2,152,features.11,65673,0.0,13-other
model2,152,classifier,0,0.353884,14-other
model2,152,classifier.0,49859,0.0,15-flatten
model2,152,classifier.0,59011,0.0,15-flatten
model2,152,classifier.0,38599,0.0,15-flatten
model2,152,classifier.0,42393,0.0,15-flatten
model2,152,classifier.0,13016,0.0,15-flatten
model2,152,classifier.1,408,0.0,16-linear
model2,152,classifier.1,473,0.0,16-linear
model2,152,classifier.1,135,0.0,16-linear
model2,152,classifier.1,22,0.0,16-linear
model2,152,classifier.1,121,0.0,16-linear
model2,152,classifier.2,304,0.0,17-relu
model2,152,classifier.2,203,0.0,17-relu
model2,152,classifier.2,290,0.0,17-relu
model2,152,classifier.2,385,0.0,17-relu
model2,152,classifier.2,297,0.0,17-relu
model2,152,classifier.3,54,0.0,18-dropout
model2,152,classifier.3,72,0.0,18-dropout
model2,152,classifier.3,7,0.0,18-dropout
model2,152,classifier.3,345,0.0,18-dropout
model2,152,classifier.3,165,0.0,18-dropout
model2,152,classifier.4,0,-0.6020099,19-linear
model2,152,classifier.5,0,0.353884,20-sigmoid
