layer_name,data_index,count_Model_1,count_Model_2,total_neurons_Model_1,total_neurons_Model_2,percentage_active_Model_1,percentage_active_Model_2,mean_Model_1,mean_Model_2,sum_Model_1,sum_Model_2,max_Model_1,max_Model_2,min_Model_1,min_Model_2,image_index
classifier 17-relu,105,49,59,512,512,9.5703125,11.5234375,3.098729133605957,1.9257407188415527,151.8377227783203,113.61870574951172,11.604503631591797,5.162684440612793,0.0025571007281541824,0.01644207537174225,105
classifier 20-sigmoid,105,1,1,1,1,100.0,100.0,0.8344303369522095,0.9654132723808289,0.8344303369522095,0.9654132723808289,0.8344303369522095,0.9654132723808289,0.8344303369522095,0.9654132723808289,105
features 3-relu,106,135902,194413,1605632,1605632,8.464081433354592,12.10819166533801,0.058729540556669235,0.05064784735441208,7981.4619140625,9846.599609375,0.7829110026359558,0.6926149129867554,3.922359610442072e-07,6.386007385117409e-07,106
features 7-relu,106,87171,191543,802816,802816,10.858154296875,23.858891701211736,0.039451222866773605,0.036812420934438705,3439.00244140625,7051.16162109375,0.9763327240943909,0.7850934267044067,2.6323667157157615e-07,5.55205907915024e-08,106
features 11-relu,106,6380,9479,401408,401408,1.589405293367347,2.3614377391581636,0.06628736853599548,0.04581502825021744,422.91339111328125,434.2806396484375,0.9215611815452576,0.6261582374572754,5.546308784687426e-06,2.3425532162946183e-06,106
classifier 17-relu,106,33,56,512,512,6.4453125,10.9375,1.0580720901489258,0.810752272605896,34.916378021240234,45.40212631225586,2.8913676738739014,2.6095612049102783,0.009894373826682568,0.03637511283159256,106
classifier 20-sigmoid,106,1,1,1,1,100.0,100.0,0.7217686772346497,0.5302878022193909,0.7217686772346497,0.5302878022193909,0.7217686772346497,0.5302878022193909,0.7217686772346497,0.5302878022193909,106
features 3-relu,107,50385,49412,1605632,1605632,3.1380166812818877,3.0774174904336737,0.06453640758991241,0.03800027072429657,3251.6669921875,1877.6693115234375,0.7407260537147522,0.634449303150177,1.6228293588937959e-06,2.6479759185349394e-07,107
features 7-relu,107,85486,178082,802816,802816,10.64826809630102,22.182168765943878,0.027870522812008858,0.015043908730149269,2382.53955078125,2679.04931640625,0.374679833650589,0.41458675265312195,8.080460816017876e-07,2.6800142904903623e-07,107
features 11-relu,107,3738,27610,401408,401408,0.9312220982142858,6.878288424744898,0.03517233207821846,0.032345011830329895,131.47418212890625,893.0457763671875,0.6326479315757751,0.4996561110019684,6.358515747706406e-06,1.8248314518132247e-05,107
classifier 17-relu,107,71,62,512,512,13.8671875,12.109375,0.4050217270851135,1.2758866548538208,28.756542205810547,79.10497283935547,1.407874584197998,4.778841018676758,0.005692139267921448,0.0037604854442179203,107
classifier 20-sigmoid,107,1,1,1,1,100.0,100.0,0.19744490087032318,0.09442662447690964,0.19744490087032318,0.09442662447690964,0.19744490087032318,0.09442662447690964,0.19744490087032318,0.09442662447690964,107
features 3-relu,108,249858,313024,1605632,1605632,15.561349051339285,19.495376275510203,0.0711420550942421,0.06022041663527489,17775.412109375,18850.435546875,0.747718095779419,0.6786726117134094,3.6428460248316696e-07,4.304135714505719e-08,108
features 7-relu,108,99086,139127,802816,802816,12.342305086096939,17.329873844068878,0.09040100872516632,0.032154250890016556,8957.474609375,4473.5244140625,0.8883140683174133,0.5946948528289795,1.0787880455609411e-07,5.923085950598761e-07,108
features 11-relu,108,3927,17679,401408,401408,0.9783063616071428,4.4042470503826525,0.07490482181310654,0.043636638671159744,294.1512451171875,771.4521484375,1.1528801918029785,0.6159085035324097,5.332875298336148e-05,2.2919813602584327e-08,108
classifier 17-relu,108,91,46,512,512,17.7734375,8.984375,0.9377037882804871,0.9832320809364319,85.33104705810547,45.228675842285156,3.6059083938598633,2.811920404434204,0.006980717182159424,0.0066570499911904335,108
classifier 20-sigmoid,108,1,1,1,1,100.0,100.0,0.7848417162895203,0.808247447013855,0.7848417162895203,0.808247447013855,0.7848417162895203,0.808247447013855,0.7848417162895203,0.808247447013855,108
features 3-relu,109,151239,166575,1605632,1605632,9.419281628667092,10.374419543207908,0.06504295766353607,0.05382045730948448,9837.0322265625,8965.142578125,1.0406099557876587,0.7037892937660217,1.3983953977003694e-06,3.681807569932971e-08,109
features 7-relu,109,84113,166302,802816,802816,10.477245097257654,20.714833785076532,0.05558456853032112,0.024922873824834824,4675.384765625,4144.7236328125,0.8889980316162109,0.6131687760353088,1.9490622094053833e-07,6.417989197871066e-07,109
features 11-relu,109,5194,17829,401408,401408,1.2939453125,4.441615513392857,0.05144411697983742,0.03931862860918045,267.20074462890625,701.0118408203125,1.6775249242782593,0.630315363407135,1.735325531626586e-05,8.662260597702698e-07,109
classifier 17-relu,109,50,67,512,512,9.765625,13.0859375,0.8077905178070068,1.0616213083267212,40.3895263671875,71.12862396240234,4.035129070281982,4.36203145980835,0.001768898218870163,0.010114068165421486,109
classifier 20-sigmoid,109,1,1,1,1,100.0,100.0,0.4403185248374939,0.9067182540893555,0.4403185248374939,0.9067182540893555,0.4403185248374939,0.9067182540893555,0.4403185248374939,0.9067182540893555,109
