model,data_idx,layer,neuron_idx,activation,layer_type
model1,169,,0,0.61740494,0-other
model1,169,features,427,0.0,1-other
model1,169,features.0,1367151,0.0,2-conv
model1,169,features.1,1151334,0.0,3-relu
model1,169,features.2,59833,0.0,4-maxpool
model1,169,features.3,60243,0.064189464,5-other
model1,169,features.4,391427,0.0,6-conv
model1,169,features.5,55336,0.0,7-relu
model1,169,features.6,26463,0.02597896,8-maxpool
model1,169,features.7,155292,0.0,9-other
model1,169,features.8,279172,0.0,10-conv
model1,169,features.9,298855,0.0,11-relu
model1,169,features.10,67478,0.0,12-maxpool
model1,169,features.11,26877,0.0,13-other
model1,169,classifier,0,0.61740494,14-other
model1,169,classifier.0,38888,0.0,15-flatten
model1,169,classifier.1,306,0.0,16-linear
model1,169,classifier.2,18,0.0,17-relu
model1,169,classifier.3,368,0.0,18-dropout
model1,169,classifier.4,0,0.47854805,19-linear
model1,169,classifier.5,0,0.61740494,20-sigmoid
