model,data_idx,layer,neuron_idx,activation,layer_type
model1,137,,0,0.80411685,0-other
model1,137,features,77555,0.01624757,1-other
model1,137,features,25624,0.0,1-other
model1,137,features,71841,0.0,1-other
model1,137,features,3993,0.0,1-other
model1,137,features,67520,0.0,1-other
model1,137,features.0,905020,0.0,2-conv
model1,137,features.0,1585863,0.0,2-conv
model1,137,features.0,1076659,0.0,2-conv
model1,137,features.0,1505758,0.0,2-conv
model1,137,features.0,62293,0.0,2-conv
model1,137,features.1,54979,0.009115154,3-relu
model1,137,features.1,1224978,0.0,3-relu
model1,137,features.1,820188,0.0,3-relu
model1,137,features.1,822435,0.01371489,3-relu
model1,137,features.1,1513171,0.013448629,3-relu
model1,137,features.2,259514,0.0,4-maxpool
model1,137,features.2,389277,0.0,4-maxpool
model1,137,features.2,330896,0.0,4-maxpool
model1,137,features.2,397773,0.045598228,4-maxpool
model1,137,features.2,275103,0.0,4-maxpool
model1,137,features.3,159682,0.0,5-other
model1,137,features.3,126867,0.0,5-other
model1,137,features.3,218705,0.0,5-other
model1,137,features.3,392388,0.0,5-other
model1,137,features.3,203204,0.085138306,5-other
model1,137,features.4,252319,0.0,6-conv
model1,137,features.4,135318,0.0,6-conv
model1,137,features.4,280939,0.0,6-conv
model1,137,features.4,387100,0.0,6-conv
model1,137,features.4,658156,0.06428011,6-conv
model1,137,features.5,723885,0.023370538,7-relu
model1,137,features.5,292769,0.0,7-relu
model1,137,features.5,750087,0.0,7-relu
model1,137,features.5,577991,0.0,7-relu
model1,137,features.5,801296,0.0,7-relu
model1,137,features.6,48738,0.0,8-maxpool
model1,137,features.6,1195,0.0,8-maxpool
model1,137,features.6,95460,0.0,8-maxpool
model1,137,features.6,79898,0.0,8-maxpool
model1,137,features.6,167535,0.0,8-maxpool
model1,137,features.7,172879,0.0,9-other
model1,137,features.7,103488,0.0,9-other
model1,137,features.7,162198,0.00058099633,9-other
model1,137,features.7,118568,0.0,9-other
model1,137,features.7,158583,0.05663618,9-other
model1,137,features.8,316554,0.0,10-conv
model1,137,features.8,128341,0.0,10-conv
model1,137,features.8,265340,0.0,10-conv
model1,137,features.8,340460,0.0,10-conv
model1,137,features.8,52771,0.0,10-conv
model1,137,features.9,148978,0.0,11-relu
model1,137,features.9,325071,0.0,11-relu
model1,137,features.9,107902,0.0,11-relu
model1,137,features.9,33973,0.0,11-relu
model1,137,features.9,142642,0.0,11-relu
model1,137,features.10,66757,0.0,12-maxpool
model1,137,features.10,18713,0.0,12-maxpool
model1,137,features.10,75370,0.43495014,12-maxpool
model1,137,features.10,7634,0.0,12-maxpool
model1,137,features.10,86786,0.0,12-maxpool
model1,137,features.11,47647,0.0,13-other
model1,137,features.11,28152,0.0,13-other
model1,137,features.11,91234,0.0,13-other
model1,137,features.11,36790,0.0,13-other
model1,137,features.11,69,0.0,13-other
model1,137,classifier,0,0.80411685,14-other
model1,137,classifier.0,27084,0.0,15-flatten
model1,137,classifier.0,84959,0.0,15-flatten
model1,137,classifier.0,96979,0.0,15-flatten
model1,137,classifier.0,57628,0.0,15-flatten
model1,137,classifier.0,88814,0.0,15-flatten
model1,137,classifier.1,440,0.0,16-linear
model1,137,classifier.1,325,0.0,16-linear
model1,137,classifier.1,284,0.0,16-linear
model1,137,classifier.1,160,0.0,16-linear
model1,137,classifier.1,428,0.0,16-linear
model1,137,classifier.2,392,0.0,17-relu
model1,137,classifier.2,44,0.0,17-relu
model1,137,classifier.2,97,0.0,17-relu
model1,137,classifier.2,195,0.0,17-relu
model1,137,classifier.2,210,0.0,17-relu
model1,137,classifier.3,306,0.0,18-dropout
model1,137,classifier.3,478,0.0,18-dropout
model1,137,classifier.3,267,0.0,18-dropout
model1,137,classifier.3,100,0.0,18-dropout
model1,137,classifier.3,176,3.8074713,18-dropout
model1,137,classifier.4,0,1.4122262,19-linear
model1,137,classifier.5,0,0.80411685,20-sigmoid
