model,data_idx,layer,neuron_idx,activation,layer_type
model2,192,features.0,685496,0.0,2-conv
model2,192,features.0,818919,0.040098283,2-conv
model2,192,features.0,890916,0.024466058,2-conv
model2,192,features.0,853895,0.080938354,2-conv
model2,192,features.0,975877,0.014882822,2-conv
model2,192,features.0,1131803,0.116889074,2-conv
model2,192,features.0,74498,0.07746478,2-conv
model2,192,features.0,930577,0.043135457,2-conv
model2,192,features.0,400287,0.0,2-conv
model2,192,features.0,1586038,0.04035315,2-conv
model2,192,features.4,163494,0.070606284,6-conv
model2,192,features.4,778014,0.024814019,6-conv
model2,192,features.4,257386,0.038446385,6-conv
model2,192,features.4,189967,0.0,6-conv
model2,192,features.4,713848,0.0,6-conv
model2,192,features.4,67916,0.0,6-conv
model2,192,features.4,391425,0.023114799,6-conv
model2,192,features.4,126505,0.06199746,6-conv
model2,192,features.4,322942,0.06302225,6-conv
model2,192,features.4,172519,0.10588185,6-conv
model2,192,features.8,169251,0.0,10-conv
model2,192,features.8,278821,0.047857516,10-conv
model2,192,features.8,170653,0.040436573,10-conv
model2,192,features.8,250613,0.013979093,10-conv
model2,192,features.8,292444,0.0076713874,10-conv
model2,192,features.8,322385,0.0,10-conv
model2,192,features.8,376042,0.033375453,10-conv
model2,192,features.8,320086,0.0,10-conv
model2,192,features.8,250159,0.0,10-conv
model2,192,features.8,312060,0.0042767054,10-conv
model2,192,classifier.1,256,0.7097805,16-linear
model2,192,classifier.1,326,2.8711863,16-linear
model2,192,classifier.1,204,0.0,16-linear
model2,192,classifier.1,365,0.0,16-linear
model2,192,classifier.1,12,2.856312,16-linear
model2,192,classifier.1,331,0.0,16-linear
model2,192,classifier.1,499,0.0,16-linear
model2,192,classifier.1,31,2.3811283,16-linear
model2,192,classifier.1,489,2.8067844,16-linear
model2,192,classifier.1,119,0.0,16-linear
model2,192,classifier.4,0,3.5052667,19-linear
model2,192,classifier.5,0,0.9708373,20-sigmoid
