model,data_idx,layer,neuron_idx,activation,layer_type
model2,199,,0,0.99097544,0-other
model2,199,features,80568,0.0,1-other
model2,199,features,5829,0.0,1-other
model2,199,features,18873,0.0,1-other
model2,199,features,66133,0.0,1-other
model2,199,features,12884,0.0,1-other
model2,199,features.0,1401842,0.0,2-conv
model2,199,features.0,940966,0.0,2-conv
model2,199,features.0,788507,0.0,2-conv
model2,199,features.0,135159,0.0,2-conv
model2,199,features.0,314909,0.0,2-conv
model2,199,features.1,894242,0.0,3-relu
model2,199,features.1,224255,0.0,3-relu
model2,199,features.1,748015,0.0,3-relu
model2,199,features.1,1300867,0.0,3-relu
model2,199,features.1,134221,0.0,3-relu
model2,199,features.2,164591,0.0,4-maxpool
model2,199,features.2,380219,0.0,4-maxpool
model2,199,features.2,99344,0.0,4-maxpool
model2,199,features.2,182342,0.0,4-maxpool
model2,199,features.2,246753,0.0,4-maxpool
model2,199,features.3,300228,0.0,5-other
model2,199,features.3,123033,0.0,5-other
model2,199,features.3,251567,0.0,5-other
model2,199,features.3,361230,0.0,5-other
model2,199,features.3,197910,0.0,5-other
model2,199,features.4,714837,0.17106394,6-conv
model2,199,features.4,548532,0.0,6-conv
model2,199,features.4,19245,0.0,6-conv
model2,199,features.4,560068,0.0,6-conv
model2,199,features.4,707694,0.0,6-conv
model2,199,features.5,733221,0.0025873964,7-relu
model2,199,features.5,594973,0.0,7-relu
model2,199,features.5,733616,0.016024338,7-relu
model2,199,features.5,184658,0.0,7-relu
model2,199,features.5,635455,0.0,7-relu
model2,199,features.6,114829,0.0,8-maxpool
model2,199,features.6,124061,0.0,8-maxpool
model2,199,features.6,90349,0.15712386,8-maxpool
model2,199,features.6,118627,0.0,8-maxpool
model2,199,features.6,134923,0.0,8-maxpool
model2,199,features.7,140792,0.0,9-other
model2,199,features.7,18949,0.0,9-other
model2,199,features.7,89159,0.016931979,9-other
model2,199,features.7,180100,0.0,9-other
model2,199,features.7,12445,0.0,9-other
model2,199,features.8,198867,0.0,10-conv
model2,199,features.8,213947,0.0,10-conv
model2,199,features.8,85739,0.02671627,10-conv
model2,199,features.8,355650,0.0,10-conv
model2,199,features.8,237589,0.0,10-conv
model2,199,features.9,43238,0.0,11-relu
model2,199,features.9,287888,0.0,11-relu
model2,199,features.9,45510,0.0,11-relu
model2,199,features.9,115244,0.0,11-relu
model2,199,features.9,394299,0.0,11-relu
model2,199,features.10,37917,0.0,12-maxpool
model2,199,features.10,59987,0.0,12-maxpool
model2,199,features.10,60211,0.0,12-maxpool
model2,199,features.10,54390,0.0076552485,12-maxpool
model2,199,features.10,14184,0.0,12-maxpool
model2,199,features.11,43254,0.0,13-other
model2,199,features.11,75911,0.0,13-other
model2,199,features.11,56237,0.0,13-other
model2,199,features.11,79145,0.0,13-other
model2,199,features.11,42925,0.0,13-other
model2,199,classifier,0,0.99097544,14-other
model2,199,classifier.0,53203,0.0,15-flatten
model2,199,classifier.0,6294,0.0,15-flatten
model2,199,classifier.0,70604,0.0,15-flatten
model2,199,classifier.0,48653,0.0,15-flatten
model2,199,classifier.0,64023,0.0,15-flatten
model2,199,classifier.1,281,0.0,16-linear
model2,199,classifier.1,84,0.0,16-linear
model2,199,classifier.1,462,0.073368594,16-linear
model2,199,classifier.1,438,0.0,16-linear
model2,199,classifier.1,477,0.0,16-linear
model2,199,classifier.2,259,0.0,17-relu
model2,199,classifier.2,238,0.0,17-relu
model2,199,classifier.2,415,0.0,17-relu
model2,199,classifier.2,486,0.0,17-relu
model2,199,classifier.2,96,0.0,17-relu
model2,199,classifier.3,40,0.0,18-dropout
model2,199,classifier.3,454,0.0,18-dropout
model2,199,classifier.3,137,0.0,18-dropout
model2,199,classifier.3,21,0.0,18-dropout
model2,199,classifier.3,463,0.0,18-dropout
model2,199,classifier.4,0,4.6987386,19-linear
model2,199,classifier.5,0,0.99097544,20-sigmoid
