model,data_idx,layer,neuron_idx,activation,layer_type
model2,116,,0,0.83249074,0-other
model2,116,features,8848,0.0,1-other
model2,116,features,36369,0.0,1-other
model2,116,features.0,761885,0.0,2-conv
model2,116,features.0,977336,0.0,2-conv
model2,116,features.1,1216757,0.0,3-relu
model2,116,features.1,30410,0.0,3-relu
model2,116,features.2,327679,0.0,4-maxpool
model2,116,features.2,322754,0.0,4-maxpool
model2,116,features.3,326371,0.0,5-other
model2,116,features.3,248409,0.062459048,5-other
model2,116,features.4,367545,0.0,6-conv
model2,116,features.4,128207,0.08548453,6-conv
model2,116,features.5,700703,0.0,7-relu
model2,116,features.5,421099,0.0,7-relu
model2,116,features.6,163740,0.0,8-maxpool
model2,116,features.6,187610,0.0,8-maxpool
model2,116,features.7,139948,0.0,9-other
model2,116,features.7,138299,0.0,9-other
model2,116,features.8,99801,0.0,10-conv
model2,116,features.8,49014,0.0,10-conv
model2,116,features.9,372112,0.0,11-relu
model2,116,features.9,223680,0.0,11-relu
model2,116,features.10,94646,0.0,12-maxpool
model2,116,features.10,61800,0.0,12-maxpool
model2,116,features.11,77199,0.0,13-other
model2,116,features.11,57522,0.0,13-other
model2,116,classifier,0,0.83249074,14-other
model2,116,classifier.0,97261,0.0,15-flatten
model2,116,classifier.0,73964,0.0,15-flatten
model2,116,classifier.1,319,0.67017704,16-linear
model2,116,classifier.1,123,0.0,16-linear
model2,116,classifier.2,316,0.0,17-relu
model2,116,classifier.2,362,0.0,17-relu
model2,116,classifier.3,256,0.0,18-dropout
model2,116,classifier.3,127,0.0,18-dropout
model2,116,classifier.4,0,1.6033835,19-linear
model2,116,classifier.5,0,0.83249074,20-sigmoid
