model,data_idx,layer,neuron_idx,activation,layer_type
model1,132,,0,0.73339045,0-other
model1,132,features,97703,0.0,1-other
model1,132,features,46028,0.0,1-other
model1,132,features,80305,0.0,1-other
model1,132,features,46703,0.0,1-other
model1,132,features,86045,0.0,1-other
model1,132,features,12330,0.0,1-other
model1,132,features,95670,0.0,1-other
model1,132,features,1872,0.0,1-other
model1,132,features,934,0.0,1-other
model1,132,features,35079,0.0,1-other
model1,132,features,19589,0.0,1-other
model1,132,features,40949,0.0,1-other
model1,132,features,53709,0.0,1-other
model1,132,features,16828,0.0,1-other
model1,132,features,26645,0.0,1-other
model1,132,features,31500,0.0,1-other
model1,132,features,2471,0.0,1-other
model1,132,features,11310,0.0,1-other
model1,132,features,33159,0.0,1-other
model1,132,features,44557,0.0,1-other
model1,132,features,18007,0.0,1-other
model1,132,features,83356,0.0,1-other
model1,132,features,49826,0.0,1-other
model1,132,features,68858,0.0,1-other
model1,132,features,91411,0.0,1-other
model1,132,features,87002,0.0,1-other
model1,132,features,97593,0.0,1-other
model1,132,features,58722,0.0,1-other
model1,132,features,9274,0.0,1-other
model1,132,features,13326,0.0,1-other
model1,132,features.0,429199,0.0,2-conv
model1,132,features.0,1399645,0.0,2-conv
model1,132,features.0,1374606,0.0,2-conv
model1,132,features.0,434718,0.0,2-conv
model1,132,features.0,185224,0.0,2-conv
model1,132,features.0,1226221,0.0,2-conv
model1,132,features.0,487783,0.0,2-conv
model1,132,features.0,1600621,0.0,2-conv
model1,132,features.0,32969,0.0,2-conv
model1,132,features.0,64935,0.04303099,2-conv
model1,132,features.0,838035,0.0,2-conv
model1,132,features.0,595314,0.0,2-conv
model1,132,features.0,1264167,0.0,2-conv
model1,132,features.0,1021195,0.0,2-conv
model1,132,features.0,1597930,0.0,2-conv
model1,132,features.0,916825,0.0,2-conv
model1,132,features.0,751449,0.0,2-conv
model1,132,features.0,849711,0.031674482,2-conv
model1,132,features.0,242868,0.0,2-conv
model1,132,features.0,936714,0.0,2-conv
model1,132,features.0,42283,0.0,2-conv
model1,132,features.0,1129183,0.17566526,2-conv
model1,132,features.0,560591,0.0,2-conv
model1,132,features.0,1206686,0.0,2-conv
model1,132,features.0,1540037,0.073328175,2-conv
model1,132,features.0,707251,0.0,2-conv
model1,132,features.0,50859,0.048019506,2-conv
model1,132,features.0,655148,0.0,2-conv
model1,132,features.0,149033,0.0,2-conv
model1,132,features.0,90546,0.0,2-conv
model1,132,features.1,1067806,0.0,3-relu
model1,132,features.1,207495,0.0,3-relu
model1,132,features.1,758086,0.0,3-relu
model1,132,features.1,901188,0.0,3-relu
model1,132,features.1,595236,0.0,3-relu
model1,132,features.1,143704,0.0,3-relu
model1,132,features.1,1441913,0.0,3-relu
model1,132,features.1,475443,0.0,3-relu
model1,132,features.1,1017621,0.0,3-relu
model1,132,features.1,1019578,0.0,3-relu
model1,132,features.1,1016904,0.0,3-relu
model1,132,features.1,5760,0.0,3-relu
model1,132,features.1,727822,0.0,3-relu
model1,132,features.1,183799,0.0,3-relu
model1,132,features.1,118850,0.015641829,3-relu
model1,132,features.1,242218,0.0,3-relu
model1,132,features.1,135795,0.0,3-relu
model1,132,features.1,317739,0.0,3-relu
model1,132,features.1,743929,0.0,3-relu
model1,132,features.1,136956,0.0,3-relu
model1,132,features.1,1179857,0.0,3-relu
model1,132,features.1,1464555,0.0,3-relu
model1,132,features.1,279808,0.0,3-relu
model1,132,features.1,468511,0.0,3-relu
model1,132,features.1,1571464,0.0,3-relu
model1,132,features.1,855298,0.0,3-relu
model1,132,features.1,901062,0.041419867,3-relu
model1,132,features.1,1219654,0.0,3-relu
model1,132,features.1,460606,0.0,3-relu
model1,132,features.1,472816,0.0,3-relu
model1,132,features.2,260909,0.0,4-maxpool
model1,132,features.2,155977,0.0,4-maxpool
model1,132,features.2,115112,0.0,4-maxpool
model1,132,features.2,38845,0.0,4-maxpool
model1,132,features.2,162049,0.0,4-maxpool
