model,data_idx,layer,neuron_idx,activation,layer_type
model2,175,,0,0.9949226,0-other
model2,175,features,9374,0.0,1-other
model2,175,features.0,1368101,0.0,2-conv
model2,175,features.1,155958,0.0,3-relu
model2,175,features.2,228895,0.0,4-maxpool
model2,175,features.3,288996,0.0,5-other
model2,175,features.4,547735,0.0,6-conv
model2,175,features.5,391491,0.0,7-relu
model2,175,features.6,13674,0.0,8-maxpool
model2,175,features.7,193582,0.0,9-other
model2,175,features.8,290969,0.0,10-conv
model2,175,features.9,327522,0.0,11-relu
model2,175,features.10,20069,0.0,12-maxpool
model2,175,features.11,71100,0.0,13-other
model2,175,classifier,0,0.9949226,14-other
model2,175,classifier.0,54096,0.034747962,15-flatten
model2,175,classifier.1,212,1.9683317,16-linear
model2,175,classifier.2,313,0.0,17-relu
model2,175,classifier.3,375,4.3884606,18-dropout
model2,175,classifier.4,0,5.2778673,19-linear
model2,175,classifier.5,0,0.9949226,20-sigmoid
