model,data_idx,layer,neuron_idx,activation,layer_type
model2,150,features.0,1585183,0.120886914,2-conv
model2,150,features.0,1590273,0.08835094,2-conv
model2,150,features.0,420633,0.0,2-conv
model2,150,features.0,980965,0.1023607,2-conv
model2,150,features.0,826119,0.054721527,2-conv
model2,150,features.0,1481709,0.04004865,2-conv
model2,150,features.0,724309,0.046171963,2-conv
model2,150,features.0,742453,0.09729554,2-conv
model2,150,features.0,749585,0.18184839,2-conv
model2,150,features.0,834047,0.04711447,2-conv
model2,150,features.4,335129,0.0,6-conv
model2,150,features.4,400927,0.06964623,6-conv
model2,150,features.4,276435,0.00955049,6-conv
model2,150,features.4,324527,0.05119933,6-conv
model2,150,features.4,357722,0.031041095,6-conv
model2,150,features.4,615709,0.019962518,6-conv
model2,150,features.4,225871,0.010910652,6-conv
model2,150,features.4,249358,0.020492421,6-conv
model2,150,features.4,481947,0.037850868,6-conv
model2,150,features.4,5249,0.017721703,6-conv
model2,150,features.8,245708,0.04277897,10-conv
model2,150,features.8,86503,0.012884974,10-conv
model2,150,features.8,311097,0.0087560415,10-conv
model2,150,features.8,392247,0.0,10-conv
model2,150,features.8,249664,0.026388008,10-conv
model2,150,features.8,224201,0.017575614,10-conv
model2,150,features.8,84808,0.0,10-conv
model2,150,features.8,209091,0.020002833,10-conv
model2,150,features.8,223811,0.014131836,10-conv
model2,150,features.8,312513,0.0067866254,10-conv
model2,150,classifier.1,297,3.0243797,16-linear
model2,150,classifier.1,65,0.6172736,16-linear
model2,150,classifier.1,206,4.2681904,16-linear
model2,150,classifier.1,397,4.484985,16-linear
model2,150,classifier.1,6,0.0,16-linear
model2,150,classifier.1,156,0.0,16-linear
model2,150,classifier.1,212,5.3988194,16-linear
model2,150,classifier.1,235,0.0,16-linear
model2,150,classifier.1,113,4.9585805,16-linear
model2,150,classifier.1,441,0.0,16-linear
model2,150,classifier.4,0,17.38523,19-linear
model2,150,classifier.5,0,1.0,20-sigmoid
