model,data_idx,layer,neuron_idx,activation,layer_type
model1,178,,0,0.6947901,0-other
model1,178,features,805,0.0,1-other
model1,178,features.0,1191086,0.0,2-conv
model1,178,features.1,863999,0.0,3-relu
model1,178,features.2,57615,0.05953357,4-maxpool
model1,178,features.3,264259,0.13424024,5-other
model1,178,features.4,346134,0.0,6-conv
model1,178,features.5,626238,0.0,7-relu
model1,178,features.6,4494,0.0,8-maxpool
model1,178,features.7,139567,0.0,9-other
model1,178,features.8,147578,0.0070248246,10-conv
model1,178,features.9,69214,0.0,11-relu
model1,178,features.10,72229,0.0,12-maxpool
model1,178,features.11,7177,0.0,13-other
model1,178,classifier,0,0.6947901,14-other
model1,178,classifier.0,6694,0.0,15-flatten
model1,178,classifier.1,282,0.0,16-linear
model1,178,classifier.2,102,0.0,17-relu
model1,178,classifier.3,236,0.0,18-dropout
model1,178,classifier.4,0,0.8226101,19-linear
model1,178,classifier.5,0,0.6947901,20-sigmoid
