input_id,epsilon,z_rank1_idx,z_rank1_val,z_rank2_idx,z_rank2_val,z_rank3_idx,z_rank3_val,z_rank4_idx,z_rank4_val,z_rank5_idx,z_rank5_val,z_rank6_idx,z_rank6_val,z_rank7_idx,z_rank7_val,z_rank8_idx,z_rank8_val,z_rank9_idx,z_rank9_val,z_rank10_idx,z_rank10_val,z_rank11_idx,z_rank11_val,z_rank12_idx,z_rank12_val,z_rank13_idx,z_rank13_val,z_rank14_idx,z_rank14_val,z_rank15_idx,z_rank15_val,z_rank16_idx,z_rank16_val,z_rank17_idx,z_rank17_val,z_rank18_idx,z_rank18_val,z_rank19_idx,z_rank19_val,z_rank20_idx,z_rank20_val
16,0.1,1512,29.5,392,11.171875,3402,8.9140625,1927,-8.90625,2042,-8.53125,2533,-7.92578125,2358,7.5390625,3971,7.3203125,269,7.140625,2573,6.36328125,2002,6.33203125,1573,6.14453125,514,-6.1328125,933,6.0546875,2184,-5.9921875,57,-5.6953125,45,5.62890625,20,5.5859375,511,-5.359375,2624,-5.35546875
17,0.1,1512,49.375,2002,9.7421875,3591,8.6015625,3700,7.9765625,1176,6.890625,3402,6.79296875,2042,-6.6875,3391,-6.546875,2084,6.53125,112,5.953125,2281,-5.93359375,286,5.4921875,1573,5.40234375,3937,-5.31640625,41,-5.265625,3448,5.2578125,235,5.11328125,171,4.9453125,2497,-4.8203125,1604,4.79296875
18,0.1,1512,15.28125,3402,9.6875,2660,-7.15625,2617,5.68359375,3366,5.671875,3208,-5.56640625,4053,5.1953125,3444,5.171875,2806,-4.953125,1870,-4.890625,794,-4.78515625,548,4.75390625,4009,-4.56640625,682,4.5625,2021,-4.5546875,3097,4.5390625,4076,-4.51171875,2042,-4.48828125,2364,4.48046875,1908,-4.47265625
19,0.1,392,14.109375,2084,-13.21875,1512,12.296875,3241,11.6796875,3971,10.4921875,3402,10.2734375,3830,10.046875,1003,-9.96875,1927,-9.75,2357,-9.59375,3170,9.0703125,4076,-9.0625,2660,-8.875,1176,-8.859375,2617,8.78125,1360,-8.7578125,2298,8.734375,2330,8.6484375,787,8.4609375,514,-8.1328125
20,0.1,1839,-15.2421875,2660,-14.5625,1360,-13.8984375,3241,13.109375,392,12.328125,2084,-10.2578125,3830,10.0390625,269,8.921875,3402,8.6875,787,8.4453125,1573,-8.390625,1512,8.046875,2604,-7.73828125,3971,6.9453125,2281,-6.8828125,1888,-6.796875,3561,-6.7734375,1825,6.62109375,3037,6.5546875,220,6.43359375
21,0.1,1512,63.625,1360,-17.953125,2660,-16.828125,3402,12.609375,3241,11.765625,3700,11.7421875,3556,-11.6015625,1839,-11.5703125,269,11.296875,1335,-10.390625,2215,10.078125,4053,9.8359375,787,9.453125,3839,-9.3515625,2611,-8.6171875,3591,8.546875,1,-8.015625,3224,-7.99609375,2357,7.890625,1745,-7.6640625
22,0.1,1360,-16.671875,3241,14.921875,2084,-13.6328125,2660,-13.375,2358,10.515625,2002,-10.359375,1176,-10.28125,3684,-10.2109375,2021,-10.078125,392,9.578125,1839,-9.2265625,4076,-8.546875,3971,8.0625,3700,7.828125,269,7.69140625,787,7.6171875,3582,-7.23046875,3402,6.96875,1681,-6.921875,191,6.8984375
23,0.1,1512,31.484375,1360,-8.65625,2660,-8.625,269,8.296875,2002,-8.1328125,2004,7.421875,1927,-6.8125,1839,-6.515625,3700,-6.48046875,2404,-6.28125,704,6.2734375,3554,-6.15625,1176,-5.97265625,3241,5.79296875,1312,5.78125,3666,-5.72265625,2281,-5.62890625,4000,-5.625,3195,5.546875,1583,-5.51171875
24,0.1,3241,9.671875,3402,7.3671875,2368,-6.6796875,2660,-6.6015625,392,6.5078125,3556,-6.0625,1076,-6.046875,787,5.9296875,1465,5.6171875,1839,-5.56640625,3837,5.4453125,531,-5.40625,1830,5.32421875,2643,-5.21875,1314,-5.203125,3565,5.10546875,1927,-5.1015625,45,5.0859375,3432,5.07421875,970,-5.06640625
25,0.1,1512,46.1875,2660,-13.359375,1839,-11.265625,3402,10.703125,1360,-9.8515625,112,9.390625,4053,9.2109375,3800,-9.0234375,392,8.78125,3700,8.578125,269,8.171875,3241,7.26953125,3971,7.23046875,4076,-6.71484375,21,-6.65625,1803,-6.54296875,3839,-6.421875,1893,6.296875,1018,-6.27734375,590,-6.2578125
