input_id,epsilon,data_type,rank,neuron_idx,value,token_idx
1,0.1,z_original,1,1512.0,39.65625,
1,0.1,z_original,2,1927.0,-12.953125,
1,0.1,z_original,3,392.0,11.890625,
1,0.1,z_original,4,3971.0,11.78125,
1,0.1,z_original,5,269.0,10.546875,
1,0.1,z_original,6,2660.0,-9.609375,
1,0.1,z_original,7,2358.0,9.59375,
1,0.1,z_original,8,2184.0,-9.296875,
1,0.1,z_original,9,3402.0,9.0546875,
1,0.1,z_original,10,3830.0,8.9921875,
1,0.1,z_original,11,2604.0,-8.5,
1,0.1,z_original,12,2330.0,8.4609375,
1,0.1,z_original,13,2977.0,-7.9921875,
1,0.1,z_original,14,1130.0,-7.86328125,
1,0.1,z_original,15,1360.0,-7.76171875,
1,0.1,z_original,16,486.0,-7.73046875,
1,0.1,z_original,17,3241.0,7.66796875,
1,0.1,z_original,18,272.0,-7.1171875,
1,0.1,z_original,19,3582.0,-7.109375,
1,0.1,z_original,20,3981.0,6.984375,
1,0.1,z_final,1,1512.0,39.65625,
1,0.1,z_final,2,1927.0,-13.053125381469728,
1,0.1,z_final,3,392.0,11.990625381469728,
1,0.1,z_final,4,3971.0,11.681249618530272,
1,0.1,z_final,5,269.0,10.646875381469728,
1,0.1,z_final,6,2660.0,-9.709375381469728,
1,0.1,z_final,7,2358.0,9.59375,
1,0.1,z_final,8,2184.0,-9.396875381469728,
1,0.1,z_final,9,3830.0,8.9921875,
1,0.1,z_final,10,3402.0,8.954687118530273,
1,0.1,z_final,11,2330.0,8.560937881469727,
1,0.1,z_final,12,2604.0,-8.5,
1,0.1,z_final,13,2977.0,-7.9921875,
1,0.1,z_final,14,1130.0,-7.86328125,
1,0.1,z_final,15,486.0,-7.830468654632568,
1,0.1,z_final,16,1360.0,-7.661718845367432,
1,0.1,z_final,17,3241.0,7.567968845367432,
1,0.1,z_final,18,272.0,-7.1171875,
1,0.1,z_final,19,3582.0,-7.109375,
1,0.1,z_final,20,3981.0,6.984375,
1,0.1,softmax_original,1,,0.8930634260177612,3681.0
1,0.1,softmax_original,2,,0.0345411486923694,263.0
1,0.1,softmax_original,3,,0.0096845747902989,2998.0
1,0.1,softmax_original,4,,0.0070159481838345,5982.0
1,0.1,softmax_original,5,,0.0055358251556754,2000.0
1,0.1,softmax_original,6,,0.0042777340859174,278.0
1,0.1,softmax_original,7,,0.0034582926891744,856.0
