sample_idx,reconstruction_idx,fc1_min_abs_diff,fc1_mean_abs_diff,fc1_max_abs_diff,fc2_min_abs_diff,fc2_mean_abs_diff,fc2_max_abs_diff,fc3_min_abs_diff,fc3_mean_abs_diff,fc3_max_abs_diff,all_layers_max_diff,all_layers_min_of_max
0,0,0.013159871101379395,0.2965790331363678,0.7664399743080139,0.00435793399810791,0.15405860543251038,0.4189833998680115,0.055151939392089844,0.07038768380880356,0.08987236022949219,0.7664399743080139,0.08987236022949219
0,1,0.012378215789794922,0.41352835297584534,1.1488255262374878,0.012694597244262695,0.27089929580688477,0.7782628536224365,0.1554098129272461,0.2353145331144333,0.31476736068725586,1.1488255262374878,0.31476736068725586
0,2,0.010255038738250732,0.4094187021255493,1.1603612899780273,0.021087169647216797,0.27747097611427307,0.8386224508285522,0.1624903678894043,0.26061931252479553,0.3213233947753906,1.1603612899780273,0.3213233947753906
0,3,0.009293556213378906,0.4388841986656189,1.4347245693206787,0.0004611015319824219,0.27773651480674744,0.761322021484375,0.13234615325927734,0.2001657485961914,0.26976776123046875,1.4347245693206787,0.26976776123046875
0,4,0.015643954277038574,0.442080557346344,1.262315034866333,0.01910492777824402,0.23059114813804626,0.6187452077865601,0.1174001693725586,0.153118297457695,0.17784547805786133,1.262315034866333,0.17784547805786133
1,0,0.034493327140808105,0.6452176570892334,1.7098056077957153,0.00990593433380127,0.2737204432487488,0.789661705493927,0.0026535987854003906,0.007754723075777292,0.013105154037475586,1.7098056077957153,0.013105154037475586
1,1,0.021427154541015625,0.7652064561843872,1.626849889755249,0.029128313064575195,0.45290571451187134,1.0928919315338135,0.11441302299499512,0.15834088623523712,0.19222521781921387,1.626849889755249,0.19222521781921387
1,2,0.02067635953426361,0.6217700839042664,2.20143461227417,0.002744436264038086,0.3188278079032898,0.7558697462081909,0.00690770149230957,0.017926732078194618,0.024132251739501953,2.20143461227417,0.024132251739501953
1,3,0.009293913841247559,0.6698889136314392,1.6618568897247314,0.008524179458618164,0.3664208948612213,0.8714408278465271,0.0706033706665039,0.08691712468862534,0.1052546501159668,1.6618568897247314,0.1052546501159668
1,4,0.08220881223678589,0.8708131313323975,2.114638328552246,0.00799107551574707,0.4122033715248108,1.1595478057861328,0.0669717788696289,0.09863106161355972,0.11860156059265137,2.114638328552246,0.11860156059265137
