input_id,round_id,method,reconstruction_success,input_mse,input_mae,input_cosine_sim,output_mse,same_prediction,fc1_mse,fc2_mse,fc3_mse
0,0,inverse_least_squares,True,1.3762707710266113,1.1108816862106323,0.6017453074455261,9.968500137329102,1.0,0.8131141662597656,1.8650481700897217,9.968500137329102
0,0,inverse_svd,True,1.3762707710266113,1.1108816862106323,0.6017453074455261,9.968500137329102,1.0,0.8131141662597656,1.8650481700897217,9.968500137329102
0,0,inverse_regularized,True,1.3763760328292847,1.1109685897827148,0.6018420457839966,9.966214179992676,1.0,0.8132275342941284,1.8647551536560059,9.966214179992676
0,0,optimization,True,0.32817912101745605,0.45665544271469116,0.9190880656242371,0.027597561478614807,1.0,0.11522246897220612,0.039372216910123825,0.027597561478614807
0,0,layerwise,True,1.9473193883895874,1.3884494304656982,-0.4502258896827698,15.999791145324707,0.0,1.1494190692901611,2.8120222091674805,15.999791145324707
0,0,constrained,True,0.017290184274315834,0.10508951544761658,0.9955485463142395,5.59868203708902e-05,1.0,0.00621244078502059,0.0015295392367988825,5.59868203708902e-05
0,0,ensemble,True,0.017290184274315834,0.10508951544761658,0.9955485463142395,5.59868203708902e-05,1.0,0.00621244078502059,0.0015295392367988825,5.59868203708902e-05
0,1,inverse_least_squares,True,1.3762707710266113,1.1108816862106323,0.6017453074455261,9.968500137329102,1.0,0.8131141662597656,1.8650481700897217,9.968500137329102
0,1,inverse_svd,True,1.3762707710266113,1.1108816862106323,0.6017453074455261,9.968500137329102,1.0,0.8131141662597656,1.8650481700897217,9.968500137329102
0,1,inverse_regularized,True,1.3763760328292847,1.1109685897827148,0.6018420457839966,9.966214179992676,1.0,0.8132275342941284,1.8647551536560059,9.966214179992676
0,1,optimization,True,0.0856727734208107,0.22397629916667938,0.9791933298110962,0.0005208700895309448,1.0,0.030336061492562294,0.006583269219845533,0.0005208700895309448
0,1,layerwise,True,1.9474799633026123,1.3884973526000977,-0.32880154252052307,15.998497009277344,0.0,1.1493866443634033,2.8120298385620117,15.998497009277344
0,1,constrained,True,0.017290184274315834,0.10508951544761658,0.9955485463142395,5.59868203708902e-05,1.0,0.00621244078502059,0.0015295392367988825,5.59868203708902e-05
0,1,ensemble,True,0.017290184274315834,0.10508951544761658,0.9955485463142395,5.59868203708902e-05,1.0,0.00621244078502059,0.0015295392367988825,5.59868203708902e-05
0,2,inverse_least_squares,True,1.3762707710266113,1.1108816862106323,0.6017453074455261,9.968500137329102,1.0,0.8131141662597656,1.8650481700897217,9.968500137329102
0,2,inverse_svd,True,1.3762707710266113,1.1108816862106323,0.6017453074455261,9.968500137329102,1.0,0.8131141662597656,1.8650481700897217,9.968500137329102
0,2,inverse_regularized,True,1.3763760328292847,1.1109685897827148,0.6018420457839966,9.966214179992676,1.0,0.8132275342941284,1.8647551536560059,9.966214179992676
0,2,optimization,True,0.8647987842559814,0.8722337484359741,0.8162444233894348,0.0012188716791570187,1.0,0.3387068510055542,0.068935826420784,0.0012188716791570187
0,2,layerwise,True,1.9472273588180542,1.3884613513946533,-0.8475296497344971,16.000028610229492,0.0,1.1493622064590454,2.8120226860046387,16.000028610229492
0,2,constrained,True,0.017290184274315834,0.10508951544761658,0.9955485463142395,5.59868203708902e-05,1.0,0.00621244078502059,0.0015295392367988825,5.59868203708902e-05
0,2,ensemble,True,0.017290184274315834,0.10508951544761658,0.9955485463142395,5.59868203708902e-05,1.0,0.00621244078502059,0.0015295392367988825,5.59868203708902e-05
1,0,inverse_least_squares,True,2.990605115890503,1.3322194814682007,0.07674944400787354,8.709365844726562,0.0,1.3614720106124878,1.6892038583755493,8.709365844726562
1,0,inverse_svd,True,2.990605115890503,1.3322194814682007,0.07674944400787354,8.709365844726562,0.0,1.3614720106124878,1.6892038583755493,8.709365844726562
1,0,inverse_regularized,True,2.9891505241394043,1.3315218687057495,0.07764303684234619,8.708297729492188,0.0,1.3610222339630127,1.6890426874160767,8.708297729492188
1,0,optimization,True,2.695801258087158,1.2976113557815552,0.4585604667663574,0.11218877881765366,1.0,0.8788806200027466,0.1755329668521881,0.11218877881765366
1,0,layerwise,True,2.9238781929016113,1.3620150089263916,-0.28344428539276123,13.719245910644531,0.0,1.5048167705535889,2.438154458999634,13.719245910644531
1,0,constrained,True,1.0664268732070923,0.7644298076629639,0.7986884713172913,0.026903366670012474,1.0,0.34639835357666016,0.05520894378423691,0.026903366670012474
1,0,ensemble,True,1.0664268732070923,0.7644298076629639,0.7986884713172913,0.026903366670012474,1.0,0.34639835357666016,0.05520894378423691,0.026903366670012474
1,1,inverse_least_squares,True,2.990605115890503,1.3322194814682007,0.07674944400787354,8.709365844726562,0.0,1.3614720106124878,1.6892038583755493,8.709365844726562
1,1,inverse_svd,True,2.990605115890503,1.3322194814682007,0.07674944400787354,8.709365844726562,0.0,1.3614720106124878,1.6892038583755493,8.709365844726562
1,1,inverse_regularized,True,2.9891505241394043,1.3315218687057495,0.07764303684234619,8.708297729492188,0.0,1.3610222339630127,1.6890426874160767,8.708297729492188
1,1,optimization,True,2.239405393600464,1.1545236110687256,0.5416390299797058,0.09672866016626358,1.0,0.7502110600471497,0.13827867805957794,0.09672866016626358
1,1,layerwise,True,2.92394757270813,1.361961007118225,-0.21241988241672516,13.71498966217041,0.0,1.504854679107666,2.4376869201660156,13.71498966217041
1,1,constrained,True,1.0664268732070923,0.7644298076629639,0.7986884713172913,0.026903366670012474,1.0,0.34639835357666016,0.05520894378423691,0.026903366670012474
