sample_idx,reconstruction_idx,fc1_min_abs_diff,fc1_mean_abs_diff,fc1_max_abs_diff,fc2_min_abs_diff,fc2_mean_abs_diff,fc2_max_abs_diff,fc3_min_abs_diff,fc3_mean_abs_diff,fc3_max_abs_diff
0,0,0.0016623735427856445,0.172511026263237,0.45476508140563965,0.0015441179275512695,0.08472011238336563,0.2284308820962906,0.02276468276977539,0.036445338279008865,0.04691779613494873
0,1,0.0028685927391052246,0.4202004671096802,1.5165305137634277,0.0033271312713623047,0.2241450548171997,0.5462648868560791,0.027498722076416016,0.04583275318145752,0.05850875377655029
0,2,0.016872882843017578,0.40331023931503296,1.410934329032898,0.00027251243591308594,0.1444784700870514,0.38723456859588623,0.036554813385009766,0.047922294586896896,0.05845308303833008
0,3,0.008183181285858154,0.26289302110671997,0.516979455947876,0.031573712825775146,0.16670507192611694,0.44298654794692993,0.05383014678955078,0.08249711990356445,0.0972585678100586
0,4,0.0022518038749694824,0.43546685576438904,0.898452639579773,0.0015387535095214844,0.3000949025154114,0.9169235229492188,0.22347593307495117,0.35679903626441956,0.4992861747741699
1,0,0.024940967559814453,0.7936305403709412,2.4464032649993896,0.00753098726272583,0.4258020222187042,0.9633564949035645,0.053971052169799805,0.07201198488473892,0.08350729942321777
1,1,0.00920557975769043,0.9290140867233276,2.376495599746704,0.01644420623779297,0.5139408707618713,1.2294247150421143,0.16770410537719727,0.24835097789764404,0.3317885398864746
1,2,0.15588873624801636,1.1154274940490723,2.7430686950683594,0.030800819396972656,0.5528630018234253,1.59369957447052,0.30411338806152344,0.416782021522522,0.5709269046783447
1,3,0.018852710723876953,0.3275195062160492,0.8445136547088623,0.010273575782775879,0.15443278849124908,0.33015668392181396,0.026726484298706055,0.13920195400714874,0.23047447204589844
1,4,0.010982155799865723,0.7100645899772644,1.8588882684707642,0.026106595993041992,0.4710721969604492,1.097989797592163,0.18735766410827637,0.2128216028213501,0.24171721935272217
2,0,0.0073036253452301025,0.19196218252182007,0.7043031454086304,0.0006288886070251465,0.07905153930187225,0.1972728967666626,0.011850595474243164,0.019778162240982056,0.03114604949951172
2,1,0.0008082389831542969,0.1224103569984436,0.31658756732940674,0.0025112032890319824,0.052435461431741714,0.14423131942749023,0.016632080078125,0.026043212041258812,0.03668212890625
2,2,0.003485068678855896,0.3300740122795105,1.133297085762024,0.008053362369537354,0.12273579090833664,0.3443625867366791,0.029013991355895996,0.046008944511413574,0.07049578428268433
2,3,0.00017750263214111328,0.07493773102760315,0.2002323567867279,0.0011036396026611328,0.02866237238049507,0.08631926774978638,0.00668644905090332,0.012813483364880085,0.021645307540893555
2,4,0.0012572705745697021,0.3939308524131775,1.5190513134002686,0.0002497434616088867,0.1317211538553238,0.43288102746009827,0.006577968597412109,0.008686050772666931,0.012323617935180664
3,0,0.0038676857948303223,0.17585453391075134,0.5193497538566589,0.002208709716796875,0.07904543727636337,0.22575366497039795,0.02093982696533203,0.030717650428414345,0.036098599433898926
3,1,0.005498170852661133,0.44765186309814453,1.2157894372940063,0.006020784378051758,0.24642713367938995,0.6210209131240845,0.0202181339263916,0.06662150472402573,0.15577435493469238
3,2,0.0057680606842041016,0.15114645659923553,0.3990440368652344,0.0029054880142211914,0.062239088118076324,0.18714793026447296,0.019618511199951172,0.03039073944091797,0.041434288024902344
3,3,0.01286935806274414,0.5276858806610107,1.8741602897644043,0.02121567726135254,0.2325616180896759,0.5423607230186462,0.016376495361328125,0.028280258178710938,0.03683614730834961
3,4,0.008578181266784668,0.35133785009384155,0.9424757957458496,0.008505821228027344,0.13895119726657867,0.3452429175376892,0.07669305801391602,0.08144494146108627,0.08909142017364502
4,0,0.020318210124969482,0.2712644338607788,0.692275881767273,0.012693583965301514,0.13468122482299805,0.37441182136535645,0.04338645935058594,0.0681459903717041,0.08080911636352539
4,1,0.01113128662109375,0.40221884846687317,1.082716941833496,0.0013041496276855469,0.1315365731716156,0.47580504417419434,0.0026683807373046875,0.030416568741202354,0.044365644454956055
4,2,0.015521883964538574,0.3566507399082184,1.3393796682357788,0.0030107498168945312,0.1664472073316574,0.35530757904052734,0.004029989242553711,0.022242387756705284,0.03927731513977051
4,3,0.008474349975585938,0.25324416160583496,0.7017577886581421,0.00292891263961792,0.08463672548532486,0.24367308616638184,0.0010504722595214844,0.009113550186157227,0.013334989547729492
4,4,0.03178226947784424,0.45902687311172485,1.2136842012405396,0.007786452770233154,0.24053344130516052,0.7432719469070435,0.029202938079833984,0.09041289240121841,0.16029596328735352
5,0,0.021193161606788635,0.8252997398376465,3.2555298805236816,0.03929424285888672,0.32400164008140564,0.9806901216506958,0.009700596332550049,0.029052674770355225,0.04935169219970703
5,1,0.010218024253845215,0.3270502984523773,1.047119140625,0.001032114028930664,0.13135211169719696,0.3470801115036011,0.01289987564086914,0.02226966619491577,0.033789217472076416
5,2,0.14330589771270752,0.7365740537643433,1.6934056282043457,0.01686951518058777,0.3406231105327606,1.0569539070129395,0.04346036911010742,0.13011972606182098,0.29373300075531006
5,3,0.010390982031822205,0.6943377256393433,2.6984713077545166,0.034919798374176025,0.2585461139678955,0.8522117137908936,0.07308626174926758,0.08761650323867798,0.10932815074920654
5,4,0.0005102157592773438,0.04547564685344696,0.12565526366233826,0.005323171615600586,0.023047534748911858,0.05180937051773071,0.0027256011962890625,0.004816392902284861,0.006892502307891846
6,0,0.0014615654945373535,0.5323483943939209,1.3374707698822021,0.015439987182617188,0.2148922085762024,0.5234463214874268,0.0039098262786865234,0.005630224943161011,0.008354902267456055
6,1,0.008062690496444702,0.5762999653816223,1.3619389533996582,0.007551461458206177,0.20787794888019562,0.6051092147827148,0.038504958152770996,0.07689026743173599,0.14353275299072266
6,2,0.021773457527160645,0.33514705300331116,0.6860135793685913,0.002487778663635254,0.12802690267562866,0.3283882737159729,0.001360088586807251,0.04403196647763252,0.12078267335891724
6,3,0.030260026454925537,0.511302649974823,1.456620216369629,0.0004006326198577881,0.20473729074001312,0.49960237741470337,0.0033397674560546875,0.005064884666353464,0.008101046085357666
6,4,0.001926124095916748,0.09172548353672028,0.2758283317089081,0.0007894039154052734,0.05041813105344772,0.11300849914550781,0.012834310531616211,0.020014336332678795,0.030210673809051514
7,0,0.011382699012756348,0.36038246750831604,0.9977830648422241,0.0152512788772583,0.10205785930156708,0.3407915234565735,0.020824909210205078,0.024366656318306923,0.028354167938232422
7,1,0.03745228052139282,0.4410979747772217,1.2734315395355225,0.006785869598388672,0.2746601104736328,0.7860422730445862,0.2340078353881836,0.3954043686389923,0.5997812747955322
7,2,0.009430348873138428,0.5139209032058716,1.3932793140411377,0.003727555274963379,0.2131754457950592,0.93235844373703,0.004464626312255859,0.010207255370914936,0.014074087142944336
7,3,0.005485236644744873,0.5693294405937195,1.7664812803268433,0.01738947629928589,0.2671634256839752,0.9929965138435364,0.030654191970825195,0.0514632873237133,0.08770895004272461
7,4,0.024008870124816895,0.5246423482894897,1.3509479761123657,0.020882129669189453,0.3295360207557678,0.8487626314163208,0.039099812507629395,0.052866894751787186,0.06477952003479004
8,0,0.002634763717651367,0.35127586126327515,1.0701276063919067,0.0016014575958251953,0.19362017512321472,0.5040172934532166,0.05398416519165039,0.0898335799574852,0.10919857025146484
8,1,0.0032879114151000977,0.3574867248535156,1.0365756750106812,2.5391578674316406e-05,0.11951731145381927,0.46030163764953613,0.00855255126953125,0.012030045501887798,0.0163421630859375
8,2,0.0033573508262634277,0.08078131079673767,0.23934662342071533,0.0003611445426940918,0.03183988481760025,0.08100391179323196,0.009680986404418945,0.01259597111493349,0.015250921249389648
8,3,0.010132908821105957,0.35114219784736633,1.223218321800232,0.018509089946746826,0.18833158910274506,0.43846631050109863,0.035919189453125,0.05726448819041252,0.07017064094543457
8,4,0.014903545379638672,0.3806559145450592,1.1358481645584106,0.0029876232147216797,0.22407199442386627,0.6419947147369385,0.0025860071182250977,0.02420254610478878,0.03771233558654785
9,0,0.00926661491394043,0.39602336287498474,0.8921068906784058,0.007367134094238281,0.22976118326187134,0.647371232509613,0.05733752250671387,0.08323407173156738,0.0980994701385498
9,1,0.015120983123779297,0.5423398017883301,1.210321307182312,0.020901739597320557,0.32282668352127075,0.8581018447875977,0.10673117637634277,0.16371746361255646,0.202500581741333
9,2,0.004554927349090576,0.43560826778411865,0.9773123264312744,0.011154651641845703,0.26322880387306213,0.6777553558349609,0.07905936241149902,0.10702475160360336,0.12451863288879395
9,3,0.005793154239654541,0.20754894614219666,0.5353457927703857,0.0017060637474060059,0.051306020468473434,0.1376456618309021,0.008730411529541016,0.017194271087646484,0.022723913192749023
9,4,0.04742836952209473,0.5774283409118652,1.7211257219314575,0.0326080322265625,0.3022144138813019,0.7697831392288208,0.02857518196105957,0.05832846835255623,0.08438777923583984
10,0,0.003951966762542725,0.25715693831443787,0.8941246867179871,0.0008760690689086914,0.1386794149875641,0.388197660446167,0.01712632179260254,0.02838653326034546,0.04324251413345337
10,1,0.02090597152709961,0.3932560682296753,1.0180785655975342,0.0012194514274597168,0.1848788559436798,0.6011874675750732,0.018889665603637695,0.045790016651153564,0.0718185305595398
10,2,0.001528620719909668,0.23838631808757782,0.803867757320404,0.009347796440124512,0.10287914425134659,0.2706359922885895,0.0381929874420166,0.05565802380442619,0.07176923751831055
10,3,0.014499306678771973,0.5121390223503113,1.895031452178955,0.012197017669677734,0.17826953530311584,0.6001111268997192,0.16430997848510742,0.20615410804748535,0.2654750347137451
10,4,0.03302055597305298,0.4157630205154419,1.5108006000518799,0.0008144378662109375,0.135382741689682,0.37884247303009033,0.007174968719482422,0.0128847761079669,0.021416664123535156
11,0,0.011666357517242432,0.4108037054538727,1.518657922744751,0.026717007160186768,0.2456662654876709,0.501101553440094,0.1605469286441803,0.16536961495876312,0.17018115520477295
11,1,0.0009332895278930664,0.10252141952514648,0.4046064615249634,0.0009668394923210144,0.03469007462263107,0.09169730544090271,0.0023783445358276367,0.0029861803632229567,0.00391300767660141
11,2,0.0002091825008392334,0.25124892592430115,1.0089242458343506,0.0013794898986816406,0.10951852798461914,0.21287107467651367,0.008955031633377075,0.010189960710704327,0.01220017671585083
11,3,0.0014040470123291016,0.2224152684211731,0.6111758351325989,0.006772547960281372,0.09106190502643585,0.2918562889099121,0.02998906373977661,0.03479696810245514,0.044158563017845154
11,4,0.007810056209564209,0.3149318993091583,0.9858807325363159,0.0013293027877807617,0.14203330874443054,0.36663705110549927,0.06847286224365234,0.10282742977142334,0.12537145614624023
12,0,0.00732654333114624,0.5318171381950378,1.0616834163665771,0.016010046005249023,0.18610087037086487,0.4516957998275757,0.04389166831970215,0.07147961854934692,0.109108567237854
12,1,0.023418933153152466,0.8060660362243652,2.417119026184082,0.06717216968536377,0.3660517930984497,0.9348074197769165,0.032757580280303955,0.05091901496052742,0.08524328470230103
12,2,0.0015848875045776367,0.24889099597930908,0.6964120268821716,0.010925054550170898,0.1208822950720787,0.37264853715896606,0.04036378860473633,0.06374794244766235,0.09644794464111328
12,3,0.001219630241394043,0.021595541387796402,0.08305096626281738,0.0001701563596725464,0.01116835605353117,0.026003479957580566,0.0012698173522949219,0.0022408168297261,0.0036550164222717285
12,4,0.00895005464553833,0.24609610438346863,0.6871834993362427,0.004698276519775391,0.12057456374168396,0.38151055574417114,0.04086422920227051,0.06475826352834702,0.0979166030883789
13,0,0.02657163143157959,0.4924342632293701,1.3273674249649048,0.0070220232009887695,0.2706190347671509,0.7111621499061584,0.04550457000732422,0.0792890414595604,0.0986475944519043
13,1,0.018012940883636475,0.615050196647644,1.5654670000076294,0.0004158616065979004,0.3103291690349579,0.9061508774757385,0.14272546768188477,0.22462491691112518,0.30106210708618164
13,2,0.013764306902885437,0.525905966758728,1.6331548690795898,0.0048906803131103516,0.301371306180954,0.7042598724365234,0.06446123123168945,0.11087179183959961,0.14679741859436035
13,3,0.023286759853363037,0.433397114276886,1.183075189590454,0.004871010780334473,0.18277981877326965,0.6447932720184326,0.025176525115966797,0.04823048785328865,0.0660858154296875
13,4,0.01472422480583191,0.4606219530105591,1.4054068326950073,0.0277864933013916,0.24900951981544495,0.6209036707878113,0.02209782600402832,0.04819099232554436,0.07004976272583008
14,0,0.0023038387298583984,0.6277366280555725,1.8799211978912354,0.004498571157455444,0.35769301652908325,1.2313145399093628,0.010782003402709961,0.045313358306884766,0.09562993049621582
14,1,0.001965165138244629,0.5103334784507751,1.4765124320983887,0.004427194595336914,0.2675040364265442,0.6432498693466187,0.005048274993896484,0.029386719688773155,0.05692613124847412
