num_neurons_perturbed,baseline_min_epsilon,baseline_avg_epsilon,baseline_max_epsilon,constrained_min_epsilon,constrained_avg_epsilon,constrained_max_epsilon
243,0.5,0.5,0.5,0.5,0.5045,0.6
244,0.7,0.7,0.7,0.7,0.7,0.7
245,0.5,0.6236,0.9,0.5,0.6236,0.9
246,0.4,0.4,0.4,0.4,0.4019,0.5
247,0.2,0.2,0.2,0.1,0.1997,0.2
263,0.4,0.5519,1.0,0.4,0.5519,1.0
273,0.3,0.3629,0.5,0.3,0.3637,0.6
278,0.3,0.3,0.3,0.3,0.3,0.3
279,0.8,0.8,0.8,0.8,0.8,0.8
280,0.4,0.4,0.4,0.4,0.4,0.4
288,0.5,0.5,0.5,0.5,0.5011,0.6
294,0.6,0.6,0.6,0.6,0.6014,0.7
302,0.2,0.2663,0.9,0.2,0.2667,1.0
321,0.4,0.4,0.4,0.4,0.4,0.4
323,0.7,0.7,0.7,0.7,0.7,0.7
331,0.2,0.2,0.2,0.2,0.2002,0.3
338,0.3,0.3,0.3,0.3,0.3,0.3
339,0.3,0.3,0.3,0.3,0.3005,0.4
345,0.8,0.8,0.8,0.8,0.8,0.8
349,0.3,0.3,0.3,0.3,0.3004,0.4
354,0.4,0.4,0.4,0.4,0.4047,0.5
357,0.4,0.4,0.4,0.4,0.4006,0.5
367,0.5,0.5,0.5,0.5,0.5009,0.6
378,0.3,0.3,0.3,0.3,0.3,0.3
382,0.4,0.4,0.4,0.4,0.4,0.4
386,0.6,0.6,0.6,0.5,0.599,0.6
394,0.3,0.3,0.3,0.3,0.3,0.3
410,0.7,0.7,0.7,0.7,0.701,0.8
454,0.2,0.2,0.2,0.2,0.2,0.2
456,0.2,0.2,0.2,0.2,0.2003,0.3
457,0.3,0.3,0.3,0.3,0.3003,0.4
483,0.4,0.4,0.4,0.4,0.4,0.4
485,0.5,0.5,0.5,0.5,0.5,0.5
501,0.1,0.1,0.1,0.1,0.1,0.2
508,0.6,0.6,0.6,0.6,0.6,0.6
511,0.3,0.3,0.3,0.3,0.3003,0.4
512,0.1,0.1,0.1,0.1,0.1,0.2
524,0.1,0.1,0.1,0.1,0.1001,0.2
539,0.3,0.3,0.3,0.3,0.3003,0.4
545,0.3,0.3,0.3,0.3,0.3011,0.4
561,0.2,0.2,0.2,0.2,0.2003,0.3
562,0.2,0.2,0.2,0.2,0.2001,0.3
581,0.1,0.1,0.1,0.1,0.1,0.1
596,0.2,0.2,0.2,0.2,0.2002,0.3
636,0.2,0.2,0.2,0.2,0.2001,0.3
642,0.4,0.4,0.4,0.4,0.4,0.4
643,0.5,0.5,0.5,0.5,0.5,0.5
673,0.2,0.2,0.2,0.2,0.2,0.2
695,0.3,0.3,0.3,0.3,0.3,0.3
713,0.1,0.1,0.1,0.1,0.1001,0.2
770,0.1,0.1,0.1,0.1,0.1,0.2
781,0.2,0.2,0.2,0.2,0.2001,0.3
870,0.2,0.2,0.2,0.2,0.2001,0.3
871,0.4,0.4,0.4,0.4,0.4,0.4
927,0.2,0.2,0.2,0.2,0.2001,0.3
952,0.3,0.3,0.3,0.3,0.3001,0.4
985,0.2,0.2,0.2,0.2,0.2003,0.3
1146,0.1,0.1,0.1,0.1,0.1001,0.2
1147,0.1,0.1,0.1,0.1,0.1,0.2
1222,0.2,0.2,0.2,0.2,0.2,0.3
1344,0.3,0.3,0.3,0.3,0.3001,0.4
1472,0.1,0.1,0.1,0.1,0.1002,0.2
1495,0.1,0.1,0.1,0.1,0.1001,0.2
1629,0.1,0.1,0.1,0.1,0.1002,0.2
1720,0.2,0.2,0.2,0.2,0.2,0.2
1724,0.1,0.1,0.1,0.1,0.1001,0.2
1884,0.1,0.1,0.1,0.1,0.1001,0.2
2310,0.1,0.1,0.1,0.1,0.1002,0.2
2701,0.1,0.1,0.1,0.1,0.1005,0.2
2841,0.2,0.2,0.2,0.2,0.2003,0.3
3362,0.1,0.1,0.1,0.1,0.1018,0.2
