num_neurons_perturbed,baseline_min_epsilon,baseline_avg_epsilon,baseline_max_epsilon,constrained_min_epsilon,constrained_avg_epsilon,constrained_max_epsilon
129,0.2,0.2635,2.5,0.1,0.265,2.6
133,0.3,0.5138,1.3,0.3,0.5181,1.4
134,1.7,1.7,1.7,1.7,1.7167,1.8
137,0.2,0.3302,2.9,0.2,0.333,3.0
138,0.4,0.6812,2.4,0.4,0.6906,2.5
139,0.4,0.4,0.4,0.4,0.4018,0.5
140,0.3,0.5146,1.6,0.3,0.5214,1.7
141,0.5,0.5,0.5,0.5,0.5024,0.6
142,0.2,0.2687,0.8,0.2,0.2677,0.8
143,0.2,0.294,2.8,0.2,0.2958,2.9
144,0.6,0.6,0.6,0.6,0.6057,0.7
145,0.3,0.5614,2.7,0.3,0.5693,2.8
146,0.7,0.7,0.7,0.7,0.7,0.7
147,0.7,1.1632,2.3,0.6,1.1789,2.4
148,0.3,0.4398,1.2,0.3,0.4427,1.3
150,0.2,0.2621,0.6,0.2,0.2621,0.6
151,0.2,0.2,0.2,0.2,0.2,0.2
154,0.5,0.9053,2.6,0.5,0.9228,2.7
157,0.4,0.5715,1.5,0.4,0.5732,1.6
158,2.2,2.2,2.2,2.2,2.25,2.3
159,0.2,0.2,0.2,0.2,0.2,0.2
160,18.1,18.1,18.1,18.6,18.6,18.6
161,18.0,18.0,18.0,18.5,18.5333,18.6
162,0.3,0.3,0.3,0.3,0.3011,0.4
163,0.3,0.3636,0.5,0.3,0.3642,0.5
164,0.3,0.5935,17.9,0.3,0.5973,18.5
165,0.7,1.1615,2.5,0.6,1.1744,2.6
166,0.2,1.3643,17.3,0.2,1.3983,17.8
167,0.4,0.4422,0.5,0.4,0.444,0.6
168,0.7,0.7,0.7,0.7,0.7059,0.8
170,0.2,0.3132,2.1,0.2,0.317,2.2
171,0.2,0.2,0.2,0.2,0.2004,0.3
172,1.4,1.4,1.4,1.4,1.4182,1.5
174,0.6,0.6,0.6,0.5,0.6,0.7
175,0.4,0.6278,2.4,0.4,0.6304,2.5
179,0.5,0.5,0.5,0.5,0.5019,0.6
180,1.0,1.0,1.0,1.0,1.02,1.1
182,17.2,17.2,17.2,17.5,17.692,17.7
183,0.4,0.4,0.4,0.4,0.4014,0.5
184,2.0,2.0714,2.3,2.0,2.1238,2.4
186,0.5,0.5,0.5,0.5,0.5,0.5
189,2.2,2.2,2.2,2.2,2.28,2.3
193,0.3,0.3,0.3,0.3,0.3,0.3
194,0.2,0.3494,1.3,0.2,0.3521,1.4
195,0.3,0.3,0.3,0.3,0.3009,0.4
197,0.2,0.2,0.2,0.2,0.2007,0.3
200,0.4,0.6602,1.9,0.4,0.6684,2.0
202,0.6,0.6,0.6,0.6,0.602,0.7
203,0.4,0.4,0.4,0.4,0.4,0.4
205,0.9,0.9,0.9,0.9,0.9094,1.0
